e2e_latency_us,transfer_latency_us,fft_exec_us,samples_per_sec,buffers_per_sec,mb_per_sec,cpu_util_pct,gpu_util_pct,buffer_size_samples,dropped_buffers,wire_latency_us
35.488,20.672,6.048,1.15419e+08,28178.5,461.677,0.609524,0,4096,0,0
35.345,20.256,6.08,1.15886e+08,28292.5,463.545,0.609524,0,4096,0,0
35.28,19.776,6.592,1.161e+08,28344.7,464.399,0.609524,0,4096,0,0
34.96,19.584,6.72,1.17162e+08,28604.1,468.65,0.609524,0,4096,0,0
34.352,19.648,6.144,1.19236e+08,29110.4,476.945,0.609524,0,4096,0,0
40,18.688,6.528,1.024e+08,25000,409.6,0.609524,0,4096,0,0
35.472,20,6.336,1.15471e+08,28191.2,461.885,0.609524,0,4096,0,0
34.672,18.848,6.176,1.18136e+08,28841.7,472.543,0.609524,0,4096,0,0
34.192,18.656,5.984,1.19794e+08,29246.6,479.176,0.609524,0,4096,0,0
81.424,40.096,5.984,5.03046e+07,12281.4,201.218,0.609524,0,4096,0,0
75.84,37.984,5.536,5.40084e+07,13185.7,216.034,0.609524,0,4096,0,0
130.336,23.008,61.28,3.14265e+07,7672.48,125.706,0.609524,0,4096,0,0
38.304,19.264,4.8,1.06934e+08,26106.9,427.736,0.609524,0,4096,0,0
34.993,19.008,5.6,1.17052e+08,28577.1,468.208,0.609524,0,4096,0,0
178.64,130.624,6.272,2.29288e+07,5597.85,91.7152,0.609524,0,4096,0,0
32.912,17.92,6.88,1.24453e+08,30384.1,497.812,0.609524,0,4096,0,0
33.857,19.04,5.92,1.20979e+08,29536,483.918,0.487619,0,4096,0,0
34.384,18.496,6.464,1.19125e+08,29083.3,476.501,0.487619,0,4096,0,0
33.584,18.848,5.824,1.21963e+08,29776.1,487.851,0.487619,0,4096,0,0
34.785,19.584,4.96,1.17752e+08,28748,471.008,0.487619,0,4096,0,0
33.84,18.944,4.928,1.2104e+08,29550.8,484.161,0.487619,0,4096,0,0
34.352,19.2,4.832,1.19236e+08,29110.4,476.945,0.487619,0,4096,0,0
33.648,18.016,6.336,1.21731e+08,29719.4,486.923,0.487619,0,4096,0,0
36.704,19.392,6.656,1.11595e+08,27245,446.382,0.487619,0,4096,0,0
35.312,19.616,5.984,1.15995e+08,28319,463.978,0.487619,0,4096,0,0
34.609,18.592,6.592,1.18351e+08,28894.2,473.403,0.487619,0,4096,0,0
35.76,20.224,4.992,1.14541e+08,27964.2,458.166,0.487619,0,4096,0,0
37.328,20.992,5.6,1.0973e+08,26789.5,438.92,0.487619,0,4096,0,0
34.496,19.008,5.536,1.18738e+08,28988.9,474.954,0.487619,0,4096,0,0
33.584,18.528,5.216,1.21963e+08,29776.1,487.851,0.487619,0,4096,0,0
33.824,18.72,6.304,1.21097e+08,29564.8,484.39,0.487619,0,4096,0,0
33.248,18.304,5.952,1.23195e+08,30077,492.782,0.487619,0,4096,0,0
35.888,19.808,5.376,1.14133e+08,27864.5,456.531,0.487619,0,4096,0,0
34,18.976,4.992,1.20471e+08,29411.8,481.882,0.487619,0,4096,0,0
35.088,20.16,4.8,1.16735e+08,28499.8,466.94,0.487619,0,4096,0,0
33.856,18.496,6.272,1.20983e+08,29536.9,483.932,0.487619,0,4096,0,0
36.48,20.96,5.024,1.12281e+08,27412.3,449.123,0.487619,0,4096,0,0
