e2e_latency_us,transfer_latency_us,fft_exec_us,samples_per_sec,buffers_per_sec,mb_per_sec,cpu_util_pct,gpu_util_pct,buffer_size_samples,dropped_buffers,wire_latency_us
22.016,0,16.8,1.48837e+09,45421.5,5953.49,0,0,32768,0,0
20.512,0,15.488,1.5975e+09,48752,6390.02,0,0,32768,0,0
21.424,0,16.384,1.5295e+09,46676.6,6118,0,0,32768,0,0
20.752,0,15.808,1.57903e+09,48188.1,6316.11,0,0,32768,0,0
20.528,0,15.68,1.59626e+09,48714,6385.04,0,0,32768,0,0
20.865,0,15.872,1.57048e+09,47927.2,6281.91,0,0,32768,0,0
21.472,0,16.288,1.52608e+09,46572.3,6104.32,0,0,32768,0,0
21.552,0,16.384,1.52042e+09,46399.4,6081.66,0,0,32768,0,0
21.088,0,15.904,1.55387e+09,47420.3,6215.48,0,0,32768,0,0
20.944,0,15.808,1.56455e+09,47746.4,6258.21,0,0,32768,0,0
21.04,0,15.904,1.55741e+09,47528.5,6229.66,0,0,32768,0,0
20.656,0,15.616,1.58637e+09,48412.1,6345.47,0,0,32768,0,0
21.088,0,15.968,1.55387e+09,47420.3,6215.48,0,0,32768,0,0
19.296,0,14.272,1.69818e+09,51824.2,6792.7,0,0,32768,0,0
21.2,0,16.128,1.54566e+09,47169.8,6182.64,0,0,32768,0,0
19.696,0,14.464,1.66369e+09,50771.7,6654.75,0,0,32768,0,0
19.744,0,14.592,1.65964e+09,50648.3,6638.57,0,0,32768,0,0
20.929,0,16.032,1.56567e+09,47780.6,6262.7,0,0,32768,0,0
19.392,0,14.432,1.68977e+09,51567.7,6759.08,0,0,32768,0,0
20.928,0,16.032,1.56575e+09,47782.9,6263,0,0,32768,0,0
20.576,0,15.36,1.59253e+09,48600.3,6370.14,0,0,32768,0,0
20.832,0,15.84,1.57296e+09,48003.1,6291.86,0,0,32768,0,0
21.808,0,16.672,1.50257e+09,45854.7,6010.27,0,0,32768,0,0
