e2e_latency_us,transfer_latency_us,fft_exec_us,samples_per_sec,buffers_per_sec,mb_per_sec,cpu_util_pct,gpu_util_pct,buffer_size_samples,dropped_buffers,wire_latency_us
131.328,113.248,7.872,3.11891e+07,7614.52,124.756,1.312,0,4096,0,4.992
133.728,114.048,9.312,3.06293e+07,7477.87,122.517,1.312,0,4096,0,53.536
132.401,113.504,8.384,3.09363e+07,7552.81,123.745,1.312,0,4096,0,29.792
43.281,23.072,9.152,9.46374e+07,23104.8,378.549,1.312,0,4096,0,5.776
131.456,112.672,8.512,3.11587e+07,7607.11,124.635,1.312,0,4096,0,32.4
131.568,113.6,7.808,3.11322e+07,7600.63,124.529,1.312,0,4096,0,5.296
124.784,104.448,8.992,3.28247e+07,8013.85,131.299,1.312,0,4096,0,51.377
37.296,17.984,7.584,1.09824e+08,26812.5,439.296,1.312,0,4096,0,15.28
42.88,19.488,8.736,9.55224e+07,23320.9,382.09,1.312,0,4096,0,34.336
129.505,111.104,8.256,3.16281e+07,7721.71,126.512,1.312,0,4096,0,5.392
136.8,116.864,8.896,2.99415e+07,7309.94,119.766,1.312,0,4096,0,44.656
46.624,22.272,13.088,8.78518e+07,21448.2,351.407,1.312,0,4096,0,18.832
39.409,19.04,9.152,1.03936e+08,25374.9,415.743,1.312,0,4096,0,48.384
133.872,114.24,9.248,3.05964e+07,7469.82,122.386,1.312,0,4096,0,5.6
132.176,113.984,8.096,3.0989e+07,7565.67,123.956,1.312,0,4096,0,49.728
123.985,106.24,7.68,3.30363e+07,8065.49,132.145,1.312,0,4096,0,19.408
124.704,106.144,8.384,3.28458e+07,8018.99,131.383,1.312,0,4096,0,51.136
130.688,112.832,7.872,3.13418e+07,7651.81,125.367,1.312,0,4096,0,12.688
37.856,17.536,9.024,1.08199e+08,26415.9,432.798,1.312,0,4096,0,50.992
163.072,140.864,9.536,2.51177e+07,6132.26,100.471,1.0496,0,4096,0,37.457
162.128,140.96,9.28,2.5264e+07,6167.97,101.056,1.0496,0,4096,0,40.4
133.425,113.024,9.792,3.06989e+07,7494.85,122.796,1.0496,0,4096,0,41.936
36.673,17.44,7.712,1.1169e+08,27268,446.759,1.0496,0,4096,0,13.136
38.736,17.6,9.376,1.05741e+08,25815.8,422.966,1.0496,0,4096,0,37.312
147.553,127.52,8.096,2.77595e+07,6777.23,111.038,1.0496,0,4096,0,57.376
39.809,21.152,7.456,1.02891e+08,25119.9,411.565,1.0496,0,4096,0,42.88
142.928,124.928,7.904,2.86578e+07,6996.53,114.631,1.0496,0,4096,0,4.992
40.736,21.92,7.456,1.0055e+08,24548.3,402.2,1.0496,0,4096,0,56.96
145.569,127.168,8.16,2.81379e+07,6869.59,112.551,1.0496,0,4096,0,7.072
140.592,122.88,6.688,2.91339e+07,7112.78,116.536,1.0496,0,4096,0,4.848
141.824,123.968,7.296,2.88809e+07,7050.99,115.523,1.0496,0,4096,0,55.296
42.128,21.824,8.896,9.72275e+07,23737.2,388.91,1.0496,0,4096,0,34.72
169.68,149.792,8.832,2.41396e+07,5893.45,96.5582,1.0496,0,4096,0,57.6
37.6,17.824,8.64,1.08936e+08,26595.7,435.745,1.0496,0,4096,0,5.056
36.944,16.48,9.056,1.10871e+08,27068,443.482,1.0496,0,4096,0,23.584
36.704,16.672,8.576,1.11595e+08,27245,446.382,1.0496,0,4096,0,41.457
41.872,17.44,9.152,9.78219e+07,23882.3,391.288,1.0496,0,4096,0,5.024
40.56,19.456,9.312,1.00986e+08,24654.8,403.945,1.0496,0,4096,0,33.488
37.312,16.896,8.672,1.09777e+08,26801,439.108,1.0496,0,4096,0,55.745
37.984,17.28,9.088,1.07835e+08,26326.9,431.34,1.0496,0,4096,0,5.504
37.904,18.112,8.48,1.08062e+08,26382.4,432.25,1.0496,0,4096,0,23.024
41.473,19.52,8.416,9.87631e+07,24112.1,395.052,0.83968,0,4096,0,18.032
38.288,19.072,7.744,1.06979e+08,26117.8,427.915,0.83968,0,4096,0,43.264
35.472,16.192,7.712,1.15471e+08,28191.2,461.885,0.83968,0,4096,0,5.52
38.56,17.792,9.152,1.06224e+08,25933.6,424.896,0.83968,0,4096,0,21.952
41.424,16.384,9.088,9.88799e+07,24140.6,395.52,0.83968,0,4096,0,43.136
37.536,16.992,9.024,1.09122e+08,26641.1,436.488,0.83968,0,4096,0,5.2
35.808,16.8,7.456,1.14388e+08,27926.7,457.551,0.83968,0,4096,0,24.496
