e2e_latency_us,transfer_latency_us,fft_exec_us,samples_per_sec,buffers_per_sec,mb_per_sec,cpu_util_pct,gpu_util_pct,buffer_size_samples,dropped_buffers,wire_latency_us
25.984,0,14.944,1.26108e+09,38485.2,5044.33,0.474074,0,32768,0,57.312
26.416,0,15.2,1.24046e+09,37855.8,4961.84,0.474074,0,32768,0,47.889
26.112,0,14.88,1.2549e+09,38296.6,5019.61,0.474074,0,32768,0,86.064
26.832,0,15.936,1.22123e+09,37268.9,4884.91,0.474074,0,32768,0,68.288
25.632,0,14.752,1.2784e+09,39013.7,5113.61,0.474074,0,32768,0,59.937
27.008,0,16.096,1.21327e+09,37026.1,4853.08,0.474074,0,32768,0,78.016
25.392,0,14.656,1.29049e+09,39382.5,5161.94,0.474074,0,32768,0,47.44
27.152,0,16.288,1.20684e+09,36829.7,4827.34,0.474074,0,32768,0,46.544
26.688,0,16,1.22782e+09,37470,4911.27,0.474074,0,32768,0,85.312
27.024,0,15.808,1.21255e+09,37004.1,4850.21,0.474074,0,32768,0,67.425
25.824,0,14.528,1.2689e+09,38723.7,5075.59,0.474074,0,32768,0,47.392
35.072,0,20.352,9.34307e+08,28512.8,3737.23,1.33164,0,32768,0,72.544
30.496,0,16.928,1.0745e+09,32791.2,4298.01,1.33164,0,32768,0,47.856
28.496,0,16.8,1.14992e+09,35092.6,4599.66,1.33164,0,32768,0,47.696
26.417,0,15.36,1.24041e+09,37854.4,4961.65,1.33164,0,32768,0,85.184
27.872,0,16.8,1.17566e+09,35878.3,4702.64,1.33164,0,32768,0,71.296
25.968,0,15.04,1.26186e+09,38508.9,5047.44,1.33164,0,32768,0,99.456
25.456,0,14.56,1.28724e+09,39283.5,5148.96,1.33164,0,32768,0,91.089
26.544,0,15.584,1.23448e+09,37673.3,4937.91,1.33164,0,32768,0,53.936
25.264,0,14.624,1.29702e+09,39582,5188.09,1.33164,0,32768,0,45.088
26.784,0,15.552,1.22342e+09,37335.7,4893.67,1.33164,0,32768,0,82.449
27.808,0,16.544,1.17837e+09,35960.9,4713.46,1.33164,0,32768,0,52.896
25.873,0,14.656,1.26649e+09,38650.3,5065.98,1.33164,0,32768,0,90.576
25.776,0,14.752,1.27126e+09,38795.8,5085.04,1.33164,0,32768,0,86.176
26.272,0,14.752,1.24726e+09,38063.3,4989.04,1.33164,0,32768,0,52.176
25.872,0,14.496,1.26654e+09,38651.8,5066.17,1.33164,0,32768,0,46.784
25.008,0,13.92,1.3103e+09,39987.2,5241.2,1.33164,0,32768,0,83.52
27.152,0,16.544,1.20684e+09,36829.7,4827.34,1.33164,0,32768,0,62.208
25.056,0,14.208,1.30779e+09,39910.6,5231.16,1.33164,0,32768,0,97.089
27.056,0,16.256,1.21112e+09,36960.4,4844.47,1.33164,0,32768,0,73.792
24.864,0,14.144,1.31789e+09,40218.8,5271.56,1.33164,0,32768,0,46.864
30.208,0,17.504,1.08475e+09,33103.8,4338.98,1.33164,0,32768,0,62.769
29.536,0,17.248,1.10943e+09,33857,4437.7,1.06531,0,32768,0,45.68
28.032,0,16.896,1.16895e+09,35673.5,4675.8,1.06531,0,32768,0,47.296
26.128,0,15.392,1.25413e+09,38273.1,5016.53,1.06531,0,32768,0,88.912
26.24,0,14.88,1.24878e+09,38109.8,4995.12,1.06531,0,32768,0,69.888
27.136,0,16.224,1.20755e+09,36851.4,4830.19,1.06531,0,32768,0,49.601
25.296,0,14.208,1.29538e+09,39531.9,5181.53,1.06531,0,32768,0,93.104
26.48,0,15.808,1.23746e+09,37764.4,4949.85,1.06531,0,32768,0,57.6
26.704,0,15.744,1.22708e+09,37447.6,4908.33,1.06531,0,32768,0,50.497
25.664,0,14.496,1.27681e+09,38965.1,5107.23,1.06531,0,32768,0,87.92
25.824,0,14.752,1.2689e+09,38723.7,5075.59,1.06531,0,32768,0,70.864
26.832,0,15.936,1.22123e+09,37268.9,4884.91,1.06531,0,32768,0,47.712
25.2,0,14.272,1.30032e+09,39682.5,5201.27,1.06531,0,32768,0,99.52
26.336,0,15.744,1.24423e+09,37970.8,4976.91,1.06531,0,32768,0,58.129
26.416,0,15.744,1.24046e+09,37855.8,4961.84,1.06531,0,32768,0,47.744
25.12,0,14.4,1.30446e+09,39808.9,5217.83,1.06531,0,32768,0,86.4
26.832,0,16.096,1.22123e+09,37268.9,4884.91,1.06531,0,32768,0,68.017
27.088,0,16.8,1.20969e+09,36916.7,4838.75,1.06531,0,32768,0,48.08
25.712,0,14.464,1.27442e+09,38892.3,5097.7,1.06531,0,32768,0,47.936
29.504,0,16.864,1.11063e+09,33893.7,4442.52,1.06531,0,32768,0,87.632
28.464,0,16.96,1.15121e+09,35132.1,4604.83,1.06531,0,32768,0,75.504
30.209,0,16.896,1.08471e+09,33102.7,4338.84,1.80463,0,32768,0,54.768
26.608,0,14.976,1.23151e+09,37582.7,4926.04,1.80463,0,32768,0,48.896
26.176,0,14.88,1.25183e+09,38202.9,5007.33,1.80463,0,32768,0,84.448
25.92,0,14.848,1.2642e+09,38580.2,5056.79,1.80463,0,32768,0,79.969
25.392,0,14.624,1.29049e+09,39382.5,5161.94,1.80463,0,32768,0,46.176
25.568,0,14.816,1.2816e+09,39111.4,5126.41,1.80463,0,32768,0,100.512
27.136,0,16.416,1.20755e+09,36851.4,4830.19,1.80463,0,32768,0,61.2
25.712,0,14.752,1.27442e+09,38892.3,5097.7,1.80463,0,32768,0,46.656
25.248,0,14.496,1.29785e+09,39607.1,5191.38,1.80463,0,32768,0,79.345
25.856,0,14.912,1.26733e+09,38675.7,5069.31,1.80463,0,32768,0,71.376
26.88,0,16.16,1.21905e+09,37202.4,4876.19,1.80463,0,32768,0,47.104
26.976,0,15.904,1.21471e+09,37070,4858.84,1.80463,0,32768,0,98.993
27.52,0,16.384,1.1907e+09,36337.2,4762.79,1.80463,0,32768,0,62.688
27.12,0,15.872,1.20826e+09,36873.2,4833.04,1.80463,0,32768,0,47.744
26.096,0,15.648,1.25567e+09,38320,5022.69,1.80463,0,32768,0,83.792
31.344,0,19.584,1.04543e+09,31904,4181.73,1.80463,0,32768,0,68.272
29.488,0,16.608,1.11123e+09,33912.1,4444.93,1.80463,0,32768,0,48.08
27.632,0,15.616,1.18587e+09,36189.9,4743.49,1.80463,0,32768,0,100.112
28.336,0,16.896,1.15641e+09,35290.8,4625.64,1.80463,0,32768,0,68.064
26.288,0,14.944,1.2465e+09,38040.2,4986,1.80463,0,32768,0,69.201
32.96,0,19.808,9.94175e+08,30339.8,3976.7,1.4437,0,32768,0,64.384
27.952,0,15.904,1.1723e+09,35775.6,4689.18,1.4437,0,32768,0,59.28
28.352,0,15.936,1.15576e+09,35270.9,4623.02,1.4437,0,32768,0,47.761
26.32,0,14.688,1.24498e+09,37993.9,4979.94,1.4437,0,32768,0,47.392
26.273,0,14.912,1.24721e+09,38061.9,4988.85,1.4437,0,32768,0,80.864
25.888,0,14.816,1.26576e+09,38627.9,5063.04,1.4437,0,32768,0,71.968
27.264,0,16.544,1.20188e+09,36678.4,4807.51,1.4437,0,32768,0,47.28
25.712,0,14.464,1.27442e+09,38892.3,5097.7,1.4437,0,32768,0,101.297
25.568,0,14.656,1.2816e+09,39111.4,5126.41,1.4437,0,32768,0,66.112
25.264,0,14.592,1.29702e+09,39582,5188.09,1.4437,0,32768,0,48.496
25.36,0,14.816,1.29211e+09,39432.2,5168.45,1.4437,0,32768,0,83.777
25.968,0,14.88,1.26186e+09,38508.9,5047.44,1.4437,0,32768,0,66.144
27.265,0,16.608,1.20183e+09,36677.1,4807.34,1.4437,0,32768,0,91.664
26.912,0,16.16,1.2176e+09,37158.1,4870.39,1.4437,0,32768,0,71.712
27.312,0,16.48,1.19977e+09,36613.9,4799.06,1.4437,0,32768,0,47.664
30.928,0,18.944,1.05949e+09,32333.2,4237.97,1.4437,0,32768,0,48.592
29.536,0,17.024,1.10943e+09,33857,4437.7,1.4437,0,32768,0,92.928
27.232,0,15.648,1.20329e+09,36721.5,4813.16,1.4437,0,32768,0,81.904
25.888,0,14.912,1.26576e+09,38627.9,5063.04,1.4437,0,32768,0,49.409
25.552,0,14.592,1.2824e+09,39135.9,5129.62,1.4437,0,32768,0,46.56
29.68,0,16.96,1.10404e+09,33692.7,4416.17,1.15496,0,32768,0,84.88
26,0,15.136,1.26031e+09,38461.5,5041.23,1.15496,0,32768,0,76.129
25.728,0,15.328,1.27363e+09,38868.2,5094.53,1.15496,0,32768,0,48.144
25.008,0,15.04,1.3103e+09,39987.2,5241.2,1.15496,0,32768,0,46.016
25.968,0,15.968,1.26186e+09,38508.9,5047.44,1.15496,0,32768,0,80.704
