e2e_latency_us,transfer_latency_us,fft_exec_us,samples_per_sec,buffers_per_sec,mb_per_sec,cpu_util_pct,gpu_util_pct,buffer_size_samples,dropped_buffers
23.584,9.472,7.008,3.47354e+08,42401.6,1389.42,0.0298274,0,8192,0
26.976,12.192,7.52,3.03677e+08,37070,1214.71,1.02386,0,8192,0
27.872,13.312,7.264,2.93915e+08,35878.3,1175.66,1.02386,0,8192,0
27.537,9.632,7.168,2.97491e+08,36314.8,1189.96,1.02386,0,8192,0
23.68,9.376,7.04,3.45946e+08,42229.7,1383.78,1.02386,0,8192,0
27.28,9.504,7.872,3.00293e+08,36656.9,1201.17,1.02386,0,8192,0
25.056,10.56,7.456,3.26948e+08,39910.6,1307.79,1.02386,0,8192,0
22.896,7.264,7.456,3.57792e+08,43675.8,1431.17,1.02386,0,8192,0
25.248,10.944,7.36,3.24461e+08,39607.1,1297.85,1.02386,0,8192,0
23.968,9.568,7.296,3.41789e+08,41722.3,1367.16,1.02386,0,8192,0
25.088,10.368,7.648,3.26531e+08,39859.7,1306.12,1.02386,0,8192,0
25.248,10.112,7.456,3.24461e+08,39607.1,1297.85,1.02386,0,8192,0
32.304,13.504,7.552,2.53591e+08,30955.9,1014.36,1.02386,0,8192,0
25.952,9.888,9.024,3.1566e+08,38532.7,1262.64,1.02386,0,8192,0
25.216,10.528,7.68,3.24873e+08,39657.4,1299.49,1.02386,0,8192,0
23.12,9.28,6.784,3.54325e+08,43252.6,1417.3,1.02386,0,8192,0
23.072,9.184,6.752,3.55062e+08,43342.6,1420.25,1.02386,0,8192,0
25.2,10.848,7.456,3.25079e+08,39682.5,1300.32,1.02386,0,8192,0
24.176,10.144,6.944,3.38848e+08,41363.3,1355.39,1.02386,0,8192,0
24.816,9.056,7.136,3.3011e+08,40296.6,1320.44,1.02386,0,8192,0
23.392,8.928,7.424,3.50205e+08,42749.7,1400.82,1.02386,0,8192,0
23.12,9.472,6.688,3.54325e+08,43252.6,1417.3,1.02386,0,8192,0
24.272,9.824,7.392,3.37508e+08,41199.7,1350.03,1.02386,0,8192,0
24.048,10.4,6.816,3.40652e+08,41583.5,1362.61,1.02386,0,8192,0
25.104,9.024,7.008,3.26322e+08,39834.3,1305.29,1.02386,0,8192,0
23.184,9.12,6.976,3.53347e+08,43133.2,1413.39,1.02386,0,8192,0
27.28,9.184,10.848,3.00293e+08,36656.9,1201.17,1.02386,0,8192,0
23.088,9.248,6.784,3.54816e+08,43312.5,1419.27,1.02386,0,8192,0
24.097,9.888,6.88,3.39959e+08,41498.9,1359.84,1.02386,0,8192,0
23.152,8.896,7.232,3.53836e+08,43192.8,1415.34,1.02386,0,8192,0
23.072,8.832,7.2,3.55062e+08,43342.6,1420.25,1.02386,0,8192,0
23.024,9.088,6.848,3.55803e+08,43432.9,1423.21,1.02386,0,8192,0
23.568,8.928,7.52,3.4759e+08,42430.4,1390.36,1.02386,0,8192,0
22.976,9.248,6.784,3.56546e+08,43523.7,1426.18,1.02386,0,8192,0
24.176,10.464,6.72,3.38848e+08,41363.3,1355.39,1.02386,0,8192,0
22.336,7.936,7.168,3.66762e+08,44770.8,1467.05,1.02386,0,8192,0
25.968,8.864,6.752,3.15465e+08,38508.9,1261.86,1.02386,0,8192,0
