arm,mode,pace_us,size,rep,pos,e2e_p50,fft_p50,resid,n,sm_mhz,gitsha
base,sat,25,1048576,1,1,126.273,44.384,81.889,1000,2457,75b6871+deck
opt,sat,25,1048576,1,2,74.848,68.160,6.688,1000,2463,75b6871+deck
daq,sat,25,1048576,1,3,64.128,59.360,4.768,1000,2489,75b6871+deck
extbuf,sat,25,1048576,1,4,83.952,68.608,15.344,1000,2541,75b6871+deck
opt,sat,25,1048576,2,1,74.673,67.936,6.737,1000,2463,75b6871+deck
daq,sat,25,1048576,2,2,69.024,64.192,4.832,1000,2489,75b6871+deck
extbuf,sat,25,1048576,2,3,87.520,73.824,13.696,1000,2548,75b6871+deck
base,sat,25,1048576,2,4,123.856,41.760,82.096,1000,2463,75b6871+deck
daq,sat,25,1048576,3,1,64.064,59.200,4.864,1000,2489,75b6871+deck
extbuf,sat,25,1048576,3,2,83.552,70.400,13.152,1000,2535,75b6871+deck
base,sat,25,1048576,3,3,124.800,42.752,82.048,1000,2463,75b6871+deck
opt,sat,25,1048576,3,4,73.696,67.008,6.688,1000,2463,75b6871+deck
extbuf,sat,25,1048576,4,1,88.912,73.504,15.408,1000,2541,75b6871+deck
base,sat,25,1048576,4,2,126.672,44.800,81.872,1000,2457,75b6871+deck
opt,sat,25,1048576,4,3,73.648,67.040,6.608,1000,2463,75b6871+deck
daq,sat,25,1048576,4,4,69.456,64.640,4.816,1000,2489,75b6871+deck
base,sat,25,1048576,5,1,131.312,49.472,81.840,1000,2457,75b6871+deck
opt,sat,25,1048576,5,2,71.712,65.184,6.528,1000,2463,75b6871+deck
daq,sat,25,1048576,5,3,63.584,58.816,4.768,1000,2489,75b6871+deck
extbuf,sat,25,1048576,5,4,84.848,73.600,11.248,1000,2535,75b6871+deck
opt,sat,25,1048576,6,1,73.216,66.432,6.784,1000,2463,75b6871+deck
daq,sat,25,1048576,6,2,68.528,63.712,4.816,1000,2489,75b6871+deck
extbuf,sat,25,1048576,6,3,83.520,70.944,12.576,1000,2548,75b6871+deck
base,sat,25,1048576,6,4,127.200,45.216,81.984,1000,2457,75b6871+deck
daq,sat,25,1048576,7,1,65.360,60.544,4.816,1000,2489,75b6871+deck
extbuf,sat,25,1048576,7,2,86.737,72.288,14.449,1000,2541,75b6871+deck
base,sat,25,1048576,7,3,126.912,44.608,82.304,1000,2457,75b6871+deck
opt,sat,25,1048576,7,4,74.464,67.776,6.688,1000,2463,75b6871+deck
extbuf,sat,25,1048576,8,1,83.504,68.896,14.608,1000,2548,75b6871+deck
base,sat,25,1048576,8,2,126.864,44.992,81.872,1000,2463,75b6871+deck
opt,sat,25,1048576,8,3,73.696,67.040,6.656,1000,2457,75b6871+deck
daq,sat,25,1048576,8,4,64.288,59.456,4.832,1000,2489,75b6871+deck
base,sat,25,1048576,9,1,127.440,45.280,82.160,1000,2463,75b6871+deck
opt,sat,25,1048576,9,2,74.864,68.256,6.608,1000,2463,75b6871+deck
daq,sat,25,1048576,9,3,65.473,60.672,4.801,1000,2489,75b6871+deck
extbuf,sat,25,1048576,9,4,79.008,69.568,9.440,1000,2548,75b6871+deck
opt,sat,25,1048576,10,1,72.192,65.600,6.592,1000,2463,75b6871+deck
daq,sat,25,1048576,10,2,66.864,62.048,4.816,1000,2489,75b6871+deck
extbuf,sat,25,1048576,10,3,80.736,70.720,10.016,1000,2535,75b6871+deck
base,sat,25,1048576,10,4,126.576,44.672,81.904,1000,2457,75b6871+deck
daq,sat,25,1048576,11,1,69.280,64.416,4.864,1000,2489,75b6871+deck
extbuf,sat,25,1048576,11,2,79.488,68.320,11.168,1000,2541,75b6871+deck
base,sat,25,1048576,11,3,127.280,45.376,81.904,1000,2463,75b6871+deck
opt,sat,25,1048576,11,4,74.593,68.128,6.465,1000,2463,75b6871+deck
extbuf,sat,25,1048576,12,1,82.128,71.360,10.768,1000,2548,75b6871+deck
