e2e_latency_us,transfer_latency_us,fft_exec_us,samples_per_sec,buffers_per_sec,mb_per_sec,cpu_util_pct,gpu_util_pct,buffer_size_samples,dropped_buffers,wire_latency_us
32.8,16.16,9.44,4.99512e+08,30487.8,1998.05,0.740741,0,16384,0,0
32,15.328,9.248,5.12e+08,31250,2048,0.740741,0,16384,0,0
31.488,15.04,9.376,5.20325e+08,31758.1,2081.3,0.740741,0,16384,0,0
31.92,15.36,8.992,5.13283e+08,31328.3,2053.13,0.740741,0,16384,0,0
33.056,15.456,9.824,4.95644e+08,30251.7,1982.58,0.740741,0,16384,0,0
33.104,15.136,9.248,4.94925e+08,30207.8,1979.7,0.740741,0,16384,0,0
32.256,16,8.512,5.07937e+08,31002,2031.75,0.740741,0,16384,0,0
31.888,15.712,9.056,5.13798e+08,31359.8,2055.19,0.740741,0,16384,0,0
32.304,15.68,9.408,5.07182e+08,30955.9,2028.73,0.740741,0,16384,0,0
32.176,15.744,9.184,5.09199e+08,31079.1,2036.8,0.740741,0,16384,0,0
31.36,15.2,8.96,5.22449e+08,31887.8,2089.8,0.740741,0,16384,0,0
27.089,10.304,9.216,6.04821e+08,36915.4,2419.28,0.740741,0,16384,0,0
32.448,15.392,9.344,5.04931e+08,30818.5,2019.72,0.740741,0,16384,0,0
31.872,15.232,9.216,5.14056e+08,31375.5,2056.22,0.740741,0,16384,0,0
34.064,16.736,9.504,4.80977e+08,29356.5,1923.91,0.740741,0,16384,0,0
33.232,16.96,8.896,4.93019e+08,30091.5,1972.08,0.740741,0,16384,0,0
31.808,15.648,8.992,5.15091e+08,31438.6,2060.36,0.740741,0,16384,0,0
32.256,15.52,9.6,5.07937e+08,31002,2031.75,0.740741,0,16384,0,0
30.272,14.208,8.96,5.41226e+08,33033.8,2164.9,0.740741,0,16384,0,0
31.984,15.776,9.152,5.12256e+08,31265.6,2049.02,0.740741,0,16384,0,0
33.408,16.192,9.952,4.90421e+08,29933,1961.69,0.740741,0,16384,0,0
32.032,15.584,9.088,5.11489e+08,31218.8,2045.95,0.740741,0,16384,0,0
32.224,16.032,9.088,5.08441e+08,31032.8,2033.76,0.740741,0,16384,0,0
32.272,15.936,8.864,5.07685e+08,30986.6,2030.74,0.740741,0,16384,0,0
33.232,16.096,9.792,4.93019e+08,30091.5,1972.08,0.740741,0,16384,0,0
33.2,16.224,9.408,4.93494e+08,30120.5,1973.98,0.740741,0,16384,0,0
32.272,14.752,9.376,5.07685e+08,30986.6,2030.74,0.740741,0,16384,0,0
32.144,15.904,9.152,5.09706e+08,31110,2038.83,0.740741,0,16384,0,0
31.152,15.2,8.896,5.25937e+08,32100.7,2103.75,0.740741,0,16384,0,0
32.144,15.584,9.344,5.09706e+08,31110,2038.83,0.740741,0,16384,0,0
32.192,15.584,9.504,5.08946e+08,31063.6,2035.79,0.740741,0,16384,0,0
32.32,16.384,8.928,5.06931e+08,30940.6,2027.72,0.740741,0,16384,0,0
31.504,14.848,9.568,5.20061e+08,31742,2080.24,0.740741,0,16384,0,0
30.192,13.248,9.76,5.4266e+08,33121.4,2170.64,0.740741,0,16384,0,0
33.088,16.224,9.408,4.95164e+08,30222.4,1980.66,0.740741,0,16384,0,0
31.2,14.624,9.312,5.25128e+08,32051.3,2100.51,0.740741,0,16384,0,0
33.072,15.744,9.696,4.95404e+08,30237.1,1981.62,0.740741,0,16384,0,0
28.08,11.2,9.344,5.83476e+08,35612.5,2333.9,0.740741,0,16384,0,0
31.217,14.88,8.96,5.24842e+08,32033.8,2099.37,0.740741,0,16384,0,0
31.28,14.816,9.312,5.23785e+08,31969.3,2095.14,0.740741,0,16384,0,0
31.248,14.688,9.312,5.24322e+08,32002,2097.29,0.740741,0,16384,0,0
32.272,15.328,9.696,5.07685e+08,30986.6,2030.74,0.740741,0,16384,0,0
33.136,15.68,9.088,4.94447e+08,30178.7,1977.79,0.740741,0,16384,0,0
32.256,15.904,9.184,5.07937e+08,31002,2031.75,0.740741,0,16384,0,0
31.168,14.72,8.928,5.25667e+08,32084.2,2102.67,0.740741,0,16384,0,0
32.32,15.52,9.504,5.06931e+08,30940.6,2027.72,0.740741,0,16384,0,0
31.328,14.752,8.992,5.22983e+08,31920.3,2091.93,0.740741,0,16384,0,0
31.168,14.848,9.152,5.25667e+08,32084.2,2102.67,0.740741,0,16384,0,0
31.2,14.272,9.44,5.25128e+08,32051.3,2100.51,0.740741,0,16384,0,0
32.128,15.968,9.024,5.0996e+08,31125.5,2039.84,0.740741,0,16384,0,0
32.352,15.36,9.6,5.06429e+08,30910,2025.72,0.740741,0,16384,0,0
31.056,14.464,9.408,5.27563e+08,32199.9,2110.25,0.740741,0,16384,0,0
31.217,15.136,8.704,5.24842e+08,32033.8,2099.37,0.740741,0,16384,0,0
31.28,14.624,9.504,5.23785e+08,31969.3,2095.14,0.740741,0,16384,0,0
32.368,15.168,9.632,5.06179e+08,30894.7,2024.72,0.740741,0,16384,0,0
29.984,13.696,9.28,5.46425e+08,33351.1,2185.7,0.740741,0,16384,0,0
30.256,14.048,8.768,5.41512e+08,33051.3,2166.05,0.740741,0,16384,0,0
28.112,11.04,9.632,5.82812e+08,35572,2331.25,0.740741,0,16384,0,0
31.12,14.976,8.768,5.26478e+08,32133.7,2105.91,0.740741,0,16384,0,0
31.216,14.4,9.568,5.24859e+08,32034.9,2099.44,0.740741,0,16384,0,0
33.28,15.008,10.464,4.92308e+08,30048.1,1969.23,0.740741,0,16384,0,0
32.08,15.072,9.632,5.10723e+08,31172.1,2042.89,0.740741,0,16384,0,0
32.432,15.776,9.472,5.0518e+08,30833.7,2020.72,0.740741,0,16384,0,0
31.04,14.624,8.928,5.27835e+08,32216.5,2111.34,0.740741,0,16384,0,0
30.304,13.76,8.928,5.40655e+08,32998.9,2162.62,0.740741,0,16384,0,0
27.008,10.56,9.28,6.06635e+08,37026.1,2426.54,0.740741,0,16384,0,0
31.409,14.88,9.024,5.21634e+08,31838,2086.54,0.740741,0,16384,0,0
30.08,13.952,8.832,5.44681e+08,33244.7,2178.72,0.740741,0,16384,0,0
32.208,15.328,9.28,5.08693e+08,31048.2,2034.77,0.740741,0,16384,0,0
30.08,13.568,9.248,5.44681e+08,33244.7,2178.72,0.740741,0,16384,0,0
31.328,14.944,9.184,5.22983e+08,31920.3,2091.93,0.740741,0,16384,0,0
31.088,14.496,9.568,5.2702e+08,32166.8,2108.08,0.740741,0,16384,0,0
31.376,14.304,9.6,5.22183e+08,31871.5,2088.73,0.740741,0,16384,0,0
33.184,15.424,9.6,4.93732e+08,30135,1974.93,0.740741,0,16384,0,0
30.16,14.016,9.152,5.43236e+08,33156.5,2172.94,0.740741,0,16384,0,0
32.272,15.776,9.216,5.07685e+08,30986.6,2030.74,0.740741,0,16384,0,0
31.136,14.88,9.056,5.26208e+08,32117.2,2104.83,0.740741,0,16384,0,0
33.2,16.512,9.312,4.93494e+08,30120.5,1973.98,0.740741,0,16384,0,0
31.536,14.88,9.472,5.19533e+08,31709.8,2078.13,0.740741,0,16384,0,0
32.016,14.944,9.088,5.11744e+08,31234.4,2046.98,0.740741,0,16384,0,0
32.177,15.68,9.376,5.09184e+08,31078.1,2036.73,0.740741,0,16384,0,0
32.24,15.488,9.408,5.08189e+08,31017.4,2032.75,0.740741,0,16384,0,0
32.512,15.008,9.664,5.03937e+08,30757.9,2015.75,0.740741,0,16384,0,0
31.984,15.264,9.6,5.12256e+08,31265.6,2049.02,0.740741,0,16384,0,0
31.376,14.464,9.792,5.22183e+08,31871.5,2088.73,0.740741,0,16384,0,0
31.104,15.136,8.768,5.26749e+08,32150.2,2107,0.740741,0,16384,0,0
31.072,14.272,9.568,5.27291e+08,32183.3,2109.17,0.740741,0,16384,0,0
31.216,15.424,8.832,5.24859e+08,32034.9,2099.44,0.740741,0,16384,0,0
31.392,15.232,9.024,5.21916e+08,31855.2,2087.67,0.740741,0,16384,0,0
31.184,15.136,8.992,5.25398e+08,32067.7,2101.59,0.740741,0,16384,0,0
31.28,14.464,8.992,5.23785e+08,31969.3,2095.14,0.740741,0,16384,0,0
31.296,15.008,9.216,5.23517e+08,31953,2094.07,0.740741,0,16384,0,0
32.336,14.848,10.4,5.0668e+08,30925.3,2026.72,0.740741,0,16384,0,0
31.073,15.168,8.736,5.27274e+08,32182.3,2109.1,0.740741,0,16384,0,0
31.184,14.912,9.216,5.25398e+08,32067.7,2101.59,0.740741,0,16384,0,0
31.312,14.912,8.928,5.2325e+08,31936.6,2093,0.740741,0,16384,0,0
32.08,15.296,9.6,5.10723e+08,31172.1,2042.89,0.740741,0,16384,0,0
32.304,15.648,9.408,5.07182e+08,30955.9,2028.73,0.740741,0,16384,0,0
31.2,14.4,9.728,5.25128e+08,32051.3,2100.51,0.740741,0,16384,0,0
32.16,15.072,10.016,5.09453e+08,31094.5,2037.81,0.740741,0,16384,0,0
33.216,15.616,10.176,4.93256e+08,30106,1973.03,0.740741,0,16384,0,0
25.968,9.504,9.344,6.3093e+08,38508.9,2523.72,0.740741,0,16384,0,0
32.304,15.392,9.44,5.07182e+08,30955.9,2028.73,0.740741,0,16384,0,0
32.384,15.008,9.92,5.05929e+08,30879.4,2023.72,0.740741,0,16384,0,0
31.04,15.04,8.832,5.27835e+08,32216.5,2111.34,0.740741,0,16384,0,0
31.2,14.656,9.088,5.25128e+08,32051.3,2100.51,0.740741,0,16384,0,0
31.408,15.264,8.832,5.21651e+08,31839,2086.6,0.740741,0,16384,0,0
32.257,15.04,9.44,5.07921e+08,31001,2031.68,0.740741,0,16384,0,0
32.144,15.584,9.28,5.09706e+08,31110,2038.83,0.740741,0,16384,0,0
31.136,14.208,9.6,5.26208e+08,32117.2,2104.83,0.740741,0,16384,0,0
33.552,16.576,9.76,4.88317e+08,29804.5,1953.27,0.740741,0,16384,0,0
31.92,15.328,9.408,5.13283e+08,31328.3,2053.13,0.740741,0,16384,0,0
31.296,15.264,8.704,5.23517e+08,31953,2094.07,0.740741,0,16384,0,0
