e2e_latency_us,transfer_latency_us,fft_exec_us,samples_per_sec,buffers_per_sec,mb_per_sec,cpu_util_pct,gpu_util_pct,buffer_size_samples,dropped_buffers,wire_latency_us
18.016,0,13.44,1.81883e+09,55506.2,7275.31,0,0,32768,0,0
19.68,0,15.008,1.66504e+09,50813,6660.16,0,0,32768,0,0
18.56,0,13.76,1.76552e+09,53879.3,7062.07,0,0,32768,0,0
51.696,0,17.376,6.33859e+08,19343.9,2535.44,0,0,32768,0,0
29.12,0,13.696,1.12527e+09,34340.7,4501.1,0,0,32768,0,0
17.872,0,13.216,1.83348e+09,55953.4,7333.93,0,0,32768,0,0
20,0,15.264,1.6384e+09,50000,6553.6,0,0,32768,0,0
17.936,0,13.28,1.82694e+09,55753.8,7307.76,0,0,32768,0,0
18.496,0,13.76,1.77163e+09,54065.7,7086.51,0,0,32768,0,0
17.904,0,13.184,1.83021e+09,55853.4,7320.82,0,0,32768,0,0
19.792,0,14.976,1.65562e+09,50525.5,6622.47,0,0,32768,0,0
17.776,0,13.056,1.84338e+09,56255.6,7373.54,0,0,32768,0,0
17.92,0,13.216,1.82857e+09,55803.6,7314.29,0,0,32768,0,0
17.936,0,13.312,1.82694e+09,55753.8,7307.76,0,0,32768,0,0
18.304,0,13.44,1.79021e+09,54632.9,7160.84,0,0,32768,0,0
19.888,0,15.136,1.64763e+09,50281.6,6590.51,0,0,32768,0,0
34.192,0,14.944,9.58353e+08,29246.6,3833.41,0,0,32768,0,0
21.984,0,17.344,1.49054e+09,45487.6,5962.15,0,0,32768,0,0
17.968,0,13.024,1.82369e+09,55654.5,7294.75,0,0,32768,0,0
17.648,0,13.12,1.85675e+09,56663.6,7427.02,0,0,32768,0,0
33.392,0,16.032,9.81313e+08,29947.3,3925.25,0,0,32768,0,0
17.776,0,13.088,1.84338e+09,56255.6,7373.54,0,0,32768,0,0
17.92,0,13.024,1.82857e+09,55803.6,7314.29,0,0,32768,0,0
20.064,0,15.392,1.63317e+09,49840.5,6532.7,0,0,32768,0,0
41.392,0,16.928,7.91651e+08,24159.3,3166.6,0,0,32768,0,0
19.68,0,14.912,1.66504e+09,50813,6660.16,0,0,32768,0,0
17.808,0,12.96,1.84007e+09,56154.5,7360.29,0,0,32768,0,0
