seq,slot,bytes,npts,e2e_us,fft_us,peak_hz,expect_hz,ok,gitsha
0,0,16640,4096,135.168,14.176,10009.8,10000.0,1,2eb80be
1,1,16640,4096,17.024,9.536,14892.6,15000.0,1,2eb80be
2,2,16640,4096,16.304,10.048,20019.5,20000.0,1,2eb80be
3,3,16640,4096,15.952,9.408,24902.3,25000.0,1,2eb80be
4,0,16640,4096,15.456,10.368,30029.3,30000.0,1,2eb80be
5,1,16640,4096,14.480,8.480,34912.1,35000.0,1,2eb80be
6,2,16640,4096,13.088,7.968,40039.1,40000.0,1,2eb80be
7,3,16640,4096,14.688,8.704,44921.9,45000.0,1,2eb80be
8,0,16640,4096,15.152,9.696,50048.8,50000.0,1,2eb80be
9,1,16640,4096,14.720,9.600,54931.6,55000.0,1,2eb80be
10,2,16640,4096,12.640,6.432,60058.6,60000.0,1,2eb80be
11,3,16640,4096,13.840,8.032,64941.4,65000.0,1,2eb80be
12,0,16640,4096,13.024,8.032,70068.4,70000.0,1,2eb80be
13,1,16640,4096,13.856,8.640,74951.2,75000.0,1,2eb80be
14,2,16640,4096,13.920,8.000,80078.1,80000.0,1,2eb80be
15,3,16640,4096,12.288,7.424,84960.9,85000.0,1,2eb80be
16,0,16640,4096,14.352,8.288,10009.8,10000.0,1,2eb80be
17,1,16640,4096,13.232,7.776,14892.6,15000.0,1,2eb80be
18,2,16640,4096,12.560,7.296,20019.5,20000.0,1,2eb80be
19,3,16640,4096,13.680,8.032,24902.3,25000.0,1,2eb80be
20,0,16640,4096,14.016,7.680,30029.3,30000.0,1,2eb80be
21,1,16640,4096,15.424,9.376,34912.1,35000.0,1,2eb80be
22,2,16640,4096,14.752,8.704,40039.1,40000.0,1,2eb80be
23,3,16640,4096,12.544,7.520,44921.9,45000.0,1,2eb80be
24,0,16640,4096,12.272,7.104,50048.8,50000.0,1,2eb80be
25,1,16640,4096,14.048,8.960,54931.6,55000.0,1,2eb80be
26,2,16640,4096,12.464,7.328,60058.6,60000.0,1,2eb80be
27,3,16640,4096,12.336,7.296,64941.4,65000.0,1,2eb80be
28,0,16640,4096,12.512,7.584,70068.4,70000.0,1,2eb80be
29,1,16640,4096,12.656,7.744,74951.2,75000.0,1,2eb80be
30,2,16640,4096,11.920,6.976,80078.1,80000.0,1,2eb80be
31,3,16640,4096,12.192,7.200,84960.9,85000.0,1,2eb80be
32,0,16640,4096,12.464,7.360,10009.8,10000.0,1,2eb80be
33,1,16640,4096,12.512,7.424,14892.6,15000.0,1,2eb80be
34,2,16640,4096,12.032,7.104,20019.5,20000.0,1,2eb80be
35,3,16640,4096,13.792,8.576,24902.3,25000.0,1,2eb80be
36,0,16640,4096,12.304,7.328,30029.3,30000.0,1,2eb80be
37,1,16640,4096,14.433,9.376,34912.1,35000.0,1,2eb80be
38,2,16640,4096,12.864,7.904,40039.1,40000.0,1,2eb80be
39,3,16640,4096,12.352,7.456,44921.9,45000.0,1,2eb80be
40,0,16640,4096,12.464,7.488,50048.8,50000.0,1,2eb80be
41,1,16640,4096,12.576,7.488,54931.6,55000.0,1,2eb80be
42,2,16640,4096,12.304,7.424,60058.6,60000.0,1,2eb80be
43,3,16640,4096,12.464,7.520,64941.4,65000.0,1,2eb80be
44,0,16640,4096,12.480,7.424,70068.4,70000.0,1,2eb80be
45,1,16640,4096,13.824,8.704,74951.2,75000.0,1,2eb80be
46,2,16640,4096,12.704,7.968,80078.1,80000.0,1,2eb80be
47,3,16640,4096,12.768,7.744,84960.9,85000.0,1,2eb80be
48,0,16640,4096,13.296,8.416,10009.8,10000.0,1,2eb80be
49,1,16640,4096,12.336,7.488,14892.6,15000.0,1,2eb80be
50,2,16640,4096,12.688,7.520,20019.5,20000.0,1,2eb80be
51,3,16640,4096,12.544,7.680,24902.3,25000.0,1,2eb80be
52,0,16640,4096,12.576,7.456,30029.3,30000.0,1,2eb80be
53,1,16640,4096,14.096,8.896,34912.1,35000.0,1,2eb80be
54,2,16640,4096,13.712,8.288,40039.1,40000.0,1,2eb80be
55,3,16640,4096,12.656,7.520,44921.9,45000.0,1,2eb80be
56,0,16640,4096,12.704,7.680,50048.8,50000.0,1,2eb80be
57,1,16640,4096,12.240,7.136,54931.6,55000.0,1,2eb80be
58,2,16640,4096,12.528,7.680,60058.6,60000.0,1,2eb80be
59,3,16640,4096,14.032,9.024,64941.4,65000.0,1,2eb80be
60,0,16640,4096,12.432,7.456,70068.4,70000.0,1,2eb80be
61,1,16640,4096,13.472,8.448,74951.2,75000.0,1,2eb80be
62,2,16640,4096,12.176,6.944,80078.1,80000.0,1,2eb80be
63,3,16640,4096,12.896,7.968,84960.9,85000.0,1,2eb80be
64,0,16640,4096,14.080,8.896,10009.8,10000.0,1,2eb80be
65,1,16640,4096,13.856,8.768,14892.6,15000.0,1,2eb80be
66,2,16640,4096,12.080,7.040,20019.5,20000.0,1,2eb80be
67,3,16640,4096,12.464,7.360,24902.3,25000.0,1,2eb80be
68,0,16640,4096,12.833,7.776,30029.3,30000.0,1,2eb80be
69,1,16640,4096,13.136,8.160,34912.1,35000.0,1,2eb80be
70,2,16640,4096,14.016,9.024,40039.1,40000.0,1,2eb80be
71,3,16640,4096,12.720,7.680,44921.9,45000.0,1,2eb80be
72,0,16640,4096,12.448,7.392,50048.8,50000.0,1,2eb80be
73,1,16640,4096,12.352,7.488,54931.6,55000.0,1,2eb80be
74,2,16640,4096,14.544,8.736,60058.6,60000.0,1,2eb80be
75,3,16640,4096,13.280,7.936,64941.4,65000.0,1,2eb80be
76,0,16640,4096,14.208,9.280,70068.4,70000.0,1,2eb80be
77,1,16640,4096,12.433,7.488,74951.2,75000.0,1,2eb80be
78,2,16640,4096,12.848,8.000,80078.1,80000.0,1,2eb80be
79,3,16640,4096,13.120,7.936,84960.9,85000.0,1,2eb80be
80,0,16640,4096,12.464,7.456,10009.8,10000.0,1,2eb80be
81,1,16640,4096,13.744,8.800,14892.6,15000.0,1,2eb80be
82,2,16640,4096,13.968,9.088,20019.5,20000.0,1,2eb80be
83,3,16640,4096,12.640,7.616,24902.3,25000.0,1,2eb80be
84,0,16640,4096,12.832,7.648,30029.3,30000.0,1,2eb80be
85,1,16640,4096,14.416,9.248,34912.1,35000.0,1,2eb80be
86,2,16640,4096,14.240,9.152,40039.1,40000.0,1,2eb80be
87,3,16640,4096,12.832,7.776,44921.9,45000.0,1,2eb80be
88,0,16640,4096,12.608,7.424,50048.8,50000.0,1,2eb80be
89,1,16640,4096,11.968,7.104,54931.6,55000.0,1,2eb80be
90,2,16640,4096,12.032,7.136,60058.6,60000.0,1,2eb80be
91,3,16640,4096,13.936,8.864,64941.4,65000.0,1,2eb80be
92,0,16640,4096,12.720,7.520,70068.4,70000.0,1,2eb80be
93,1,16640,4096,12.448,7.200,74951.2,75000.0,1,2eb80be
94,2,16640,4096,12.736,7.520,80078.1,80000.0,1,2eb80be
95,3,16640,4096,13.856,8.832,84960.9,85000.0,1,2eb80be
96,0,16640,4096,13.808,8.768,10009.8,10000.0,1,2eb80be
97,1,16640,4096,12.640,7.584,14892.6,15000.0,1,2eb80be
98,2,16640,4096,12.112,7.040,20019.5,20000.0,1,2eb80be
99,3,16640,4096,12.544,7.456,24902.3,25000.0,1,2eb80be
100,0,16640,4096,14.256,9.280,30029.3,30000.0,1,2eb80be
101,1,16640,4096,12.528,7.552,34912.1,35000.0,1,2eb80be
102,2,16640,4096,12.352,7.232,40039.1,40000.0,1,2eb80be
103,3,16640,4096,12.944,8.032,44921.9,45000.0,1,2eb80be
