variant,size,rep,pos,e2e_p50,fft_p50,residual,n,sm_mhz,gitsha
on,4096,1,1,35.248,18.144,17.104,1000,2515,6688440+stream
off,4096,1,2,41.728,21.376,20.352,1000,2476,6688440+stream
on,262144,1,1,56.832,36.384,20.448,1000,2502,6688440+stream
off,262144,1,2,57.921,37.152,20.769,1000,2444,6688440+stream
on,1048576,1,1,101.425,78.752,22.673,1000,2431,6688440+stream
off,1048576,1,2,125.840,88.672,37.168,1000,2405,6688440+stream
off,4096,2,1,40.544,20.768,19.776,1000,2405,6688440+stream
on,4096,2,2,40.081,20.480,19.601,1000,2548,6688440+stream
off,262144,2,1,48.753,33.120,15.633,1000,2444,6688440+stream
on,262144,2,2,50.225,33.632,16.593,1000,2509,6688440+stream
off,1048576,2,1,104.240,79.648,24.592,1000,2405,6688440+stream
on,1048576,2,2,129.280,94.304,34.976,1000,2424,6688440+stream
on,4096,3,1,40.832,20.736,20.096,1000,2489,6688440+stream
off,4096,3,2,42.128,21.664,20.464,1000,2418,6688440+stream
on,262144,3,1,56.385,36.192,20.193,1000,2496,6688440+stream
off,262144,3,2,60.224,38.624,21.600,1000,2405,6688440+stream
on,1048576,3,1,113.136,84.480,28.656,1000,2424,6688440+stream
off,1048576,3,2,108.880,82.112,26.768,1000,2431,6688440+stream
off,4096,4,1,41.712,21.568,20.144,1000,2548,6688440+stream
on,4096,4,2,40.881,21.536,19.345,1000,2528,6688440+stream
off,262144,4,1,51.072,33.408,17.664,1000,2405,6688440+stream
on,262144,4,2,56.000,36.064,19.936,1000,2476,6688440+stream
off,1048576,4,1,122.208,86.592,35.616,1000,2431,6688440+stream
on,1048576,4,2,102.080,79.872,22.208,1000,2405,6688440+stream
on,4096,5,1,27.088,14.048,13.040,1000,2548,6688440+stream
off,4096,5,2,40.641,20.672,19.969,1000,2548,6688440+stream
on,262144,5,1,50.608,33.888,16.720,1000,2418,6688440+stream
off,262144,5,2,57.424,36.416,21.008,1000,2502,6688440+stream
on,1048576,5,1,106.576,83.488,23.088,1000,2431,6688440+stream
off,1048576,5,2,105.809,82.176,23.633,1000,2431,6688440+stream
off,4096,6,1,39.168,19.808,19.360,1000,2548,6688440+stream
on,4096,6,2,39.872,20.576,19.296,1000,2548,6688440+stream
off,262144,6,1,56.272,35.648,20.624,1000,2502,6688440+stream
on,262144,6,2,53.696,34.592,19.104,1000,2463,6688440+stream
off,1048576,6,1,105.584,80.960,24.624,1000,2431,6688440+stream
on,1048576,6,2,107.472,81.664,25.808,1000,2405,6688440+stream
on,4096,7,1,39.617,20.288,19.329,1000,2405,6688440+stream
off,4096,7,2,41.312,20.576,20.736,1000,2528,6688440+stream
on,262144,7,1,52.720,34.272,18.448,1000,2411,6688440+stream
off,262144,7,2,56.432,35.680,20.752,1000,2483,6688440+stream
on,1048576,7,1,125.968,90.720,35.248,1000,2424,6688440+stream
off,1048576,7,2,128.289,92.320,35.969,1000,2418,6688440+stream
off,4096,8,1,43.632,22.048,21.584,1000,2463,6688440+stream
on,4096,8,2,25.024,13.504,11.520,1000,2418,6688440+stream
off,262144,8,1,55.824,35.232,20.592,1000,2489,6688440+stream
on,262144,8,2,47.600,32.032,15.568,1000,2405,6688440+stream
off,1048576,8,1,102.320,79.040,23.280,1000,2418,6688440+stream
on,1048576,8,2,103.088,79.200,23.888,1000,2424,6688440+stream
