arm,size,kb,rep,e2e_p50,e2e_p99,fft_p50,resid,n,result,gitsha
base,4096,16,1,17.04,22.672,8.8,8.24,170,OK,952b68a
opt,4096,16,1,12.992,17.728,7.488,5.50,172,OK,952b68a
daq,4096,16,1,11.712,14.832,6.56,5.15,250,OK,952b68a
base,4096,16,2,17.136,21.552,8.832,8.30,173,OK,952b68a
opt,4096,16,2,12.576,18.016,7.168,5.41,170,OK,952b68a
daq,4096,16,2,11.68,14.304,6.56,5.12,250,OK,952b68a
base,8192,32,1,18.48,24.4,9.6,8.88,171,OK,952b68a
opt,8192,32,1,14.064,19.728,8.64,5.42,172,OK,952b68a
daq,8192,32,1,12.992,14.896,8.096,4.90,250,OK,952b68a
base,8192,32,2,18.241,26.464,9.056,9.19,172,OK,952b68a
opt,8192,32,2,14.208,20.129,8.576,5.63,171,OK,952b68a
daq,8192,32,2,12.176,14.944,7.168,5.01,250,OK,952b68a
base,16384,64,1,21.68,28.64,11.68,10.00,172,OK,952b68a
opt,16384,64,1,17.328,21.857,11.776,5.55,172,OK,952b68a
daq,16384,64,1,15.488,39.104,10.528,4.96,250,OK,952b68a
base,16384,64,2,21.744,26.56,11.712,10.03,172,OK,952b68a
opt,16384,64,2,17.44,33.216,11.808,5.63,173,OK,952b68a
daq,16384,64,2,15.632,18.832,10.56,5.07,250,OK,952b68a
base,32768,128,1,27.328,31.904,16.352,10.98,175,OK,952b68a
opt,32768,128,1,23.024,27.888,17.536,5.49,172,OK,952b68a
daq,32768,128,1,22.16,23.824,17.28,4.88,250,OK,952b68a
base,32768,128,2,27.408,32.608,16.544,10.86,175,OK,952b68a
opt,32768,128,2,23.312,26.848,17.6,5.71,176,OK,952b68a
daq,32768,128,2,22.16,25.376,17.248,4.91,250,OK,952b68a
base,65536,256,1,27.504,31.856,14.368,13.14,180,OK,952b68a
opt,65536,256,1,24.16,29.28,18.592,5.57,178,OK,952b68a
daq,65536,256,1,20.592,25.376,15.712,4.88,250,OK,952b68a
base,65536,256,2,27.392,36.208,14.08,13.31,179,OK,952b68a
opt,65536,256,2,23.393,28.624,17.696,5.70,176,OK,952b68a
daq,65536,256,2,20.896,24.48,16.032,4.86,250,OK,952b68a
base,131072,512,1,36,70.4,17.792,18.21,185,OK,952b68a
opt,131072,512,1,28.464,32.432,22.912,5.55,185,OK,952b68a
daq,131072,512,1,25.872,29.024,20.928,4.94,250,OK,952b68a
base,131072,512,2,36.048,43.104,18.112,17.94,186,OK,952b68a
opt,131072,512,2,28.304,33.696,22.656,5.65,184,OK,952b68a
daq,131072,512,2,25.952,29.504,20.928,5.02,250,OK,952b68a
base,262144,1024,1,47.568,58.352,20.736,26.83,190,OK,952b68a
opt,262144,1024,1,32.576,36.864,26.944,5.63,190,OK,952b68a
daq,262144,1024,1,28.32,31.552,23.328,4.99,250,OK,952b68a
base,262144,1024,2,47.825,64.176,20.928,26.90,191,OK,952b68a
opt,262144,1024,2,33.168,37.728,27.328,5.84,189,OK,952b68a
daq,262144,1024,2,28.224,30.592,23.296,4.93,250,OK,952b68a
base,524288,2048,1,68.176,78.561,22.112,46.06,196,OK,952b68a
opt,524288,2048,1,41.888,47.744,36.032,5.86,197,OK,952b68a
daq,524288,2048,1,37.104,46.609,32.128,4.98,250,OK,952b68a
base,524288,2048,2,67.52,74.976,21.984,45.54,196,OK,952b68a
opt,524288,2048,2,42.272,49.936,36.096,6.18,196,OK,952b68a
daq,524288,2048,2,37.12,129.712,32.16,4.96,250,OK,952b68a
base,1048576,4096,1,132.384,142.977,50.496,81.89,200,OK,952b68a
opt,1048576,4096,1,71.281,78.224,64.704,6.58,200,OK,952b68a
daq,1048576,4096,1,63.825,71.824,58.912,4.91,250,OK,952b68a
base,1048576,4096,2,121.664,137.472,39.808,81.86,200,OK,952b68a
opt,1048576,4096,2,69.537,82.208,62.816,6.72,200,OK,952b68a
daq,1048576,4096,2,60.8,73.984,55.808,4.99,250,OK,952b68a
