file,bytes,n_gaps,span_ms,gap_mean_us,mib_s_true
tc_stream-loopback_1024_s4_1,4352,199999,14174.6,70.87,59
tc_stream-loopback_1024_s4_2,4352,199999,12191.3,60.96,68
tc_stream-loopback_1024_s4_3,4352,199999,7774.9,38.87,107
tc_stream-loopback_1048576_s4_1,4194560,999,680.7,681.34,5871
tc_stream-loopback_1048576_s4_2,4194560,999,672.9,673.53,5939
tc_stream-loopback_1048576_s4_3,4194560,999,673.3,674.02,5935
tc_stream-loopback_262144_s4_1,1048832,2891,645.3,223.20,4481
tc_stream-loopback_262144_s4_2,1048832,2891,834.8,288.77,3464
tc_stream-loopback_262144_s4_3,1048832,2891,908.7,314.30,3182
tc_stream-loopback_4096_s4_1,16640,111505,6039.2,54.16,293
tc_stream-loopback_4096_s4_2,16640,111505,5639.9,50.58,314
tc_stream-loopback_4096_s4_3,16640,111505,4968.5,44.56,356
tc_stream-loopback_65536_s4_1,262400,11212,2190.1,195.34,1281
tc_stream-loopback_65536_s4_2,262400,11212,807.7,72.04,3474
tc_stream-loopback_65536_s4_3,262400,11212,871.8,77.76,3218
tc_stream-nv_1024_s4_1,4352,199999,2781.6,13.91,298
tc_stream-nv_1024_s4_2,4352,199999,3322.3,16.61,250
tc_stream-nv_1024_s4_3,4352,199999,2674.7,13.37,310
tc_stream-nv_1048576_s4_1,4194560,999,814.4,815.21,4907
tc_stream-nv_1048576_s4_2,4194560,999,794.8,795.63,5028
tc_stream-nv_1048576_s4_3,4194560,999,788.1,788.89,5071
tc_stream-nv_262144_s4_1,1048832,19999,4104.6,205.24,4874
tc_stream-nv_262144_s4_2,1048832,19999,3756.2,187.82,5326
tc_stream-nv_262144_s4_3,1048832,19999,3977.5,198.88,5029
tc_stream-nv_4096_s4_1,16640,111505,1634.9,14.66,1082
tc_stream-nv_4096_s4_2,16640,111505,1909.1,17.12,927
tc_stream-nv_4096_s4_3,16640,111505,2070.8,18.57,855
tc_stream-nv_65536_s4_1,262400,11212,563.9,50.30,4975
tc_stream-nv_65536_s4_2,262400,11212,637.4,56.85,4402
tc_stream-nv_65536_s4_3,262400,11212,548.9,48.95,5112
tc_stream-inplace_1024_s4_1,4352,199999,3155.5,15.78,263
tc_stream-inplace_1024_s4_2,4352,199999,3411.1,17.06,243
tc_stream-inplace_1024_s4_3,4352,199999,3436.2,17.18,242
tc_stream-inplace_1048576_s4_1,4194560,999,689.5,690.16,5796
tc_stream-inplace_1048576_s4_2,4194560,999,688.9,689.56,5801
tc_stream-inplace_1048576_s4_3,4194560,999,688.6,689.31,5803
tc_stream-inplace_262144_s4_1,1048832,19999,4034.8,201.75,4958
tc_stream-inplace_262144_s4_2,1048832,19999,4041.3,202.08,4950
tc_stream-inplace_262144_s4_3,1048832,19999,3863.2,193.17,5178
tc_stream-inplace_4096_s4_1,16640,111505,1438.8,12.90,1230
tc_stream-inplace_4096_s4_2,16640,111505,1412.1,12.66,1253
tc_stream-inplace_4096_s4_3,16640,111505,1549.4,13.90,1142
tc_stream-inplace_65536_s4_1,262400,11212,662.0,59.04,4239
tc_stream-inplace_65536_s4_2,262400,11212,576.8,51.44,4864
tc_stream-inplace_65536_s4_3,262400,11212,874.0,77.96,3210
