arm,npts,bytes,slots,rep,rtt_p50,rtt_p99,gen_p50,send_p50,e2e_p50,fft_p50,gap_p50,hold_p50,rq_p50,mib_s,n,verified,bad_ack,sm_mhz,result,gitsha,resid,wire_us,pct_wire
stream-loopback,1024,4096,4,1,NA,NA,0.03,1.55,9.552,4.704,12.144,1.36,1.31,342,199999,NA,0,2548,OK,loopback,4.85,2.479,20.4
stream-loopback,1024,4096,4,2,NA,NA,0.03,11.04,9.472,4.672,12.224,1.90,1.87,340,199999,NA,0,2528,OK,loopback,4.80,2.479,20.3
stream-loopback,1024,4096,4,3,NA,NA,0.03,11.17,9.456,4.672,11.952,1.58,1.54,347,199999,NA,0,2528,OK,loopback,4.78,2.479,20.7
stream-loopback,4096,16384,4,1,NA,NA,0.03,10.22,9.632,4.800,12.496,1.73,1.68,1270,111505,NA,0,2528,OK,loopback,4.83,4.484,35.9
stream-loopback,4096,16384,4,2,NA,NA,0.03,8.69,9.648,4.800,12.208,1.66,1.63,1300,111505,NA,0,2528,OK,loopback,4.85,4.484,36.7
stream-loopback,4096,16384,4,3,NA,NA,0.03,11.65,9.472,4.640,12.304,1.95,1.92,1290,111505,NA,0,2528,OK,loopback,4.83,4.484,36.4
stream-loopback,65536,262144,4,1,NA,NA,0.08,41.87,19.808,14.592,43.856,1.17,1.14,5706,11212,NA,0,2528,OK,loopback,5.22,44.595,101.7
stream-loopback,65536,262144,4,2,NA,NA,0.06,41.87,19.728,14.656,42.561,1.12,1.09,5880,11212,NA,0,2528,OK,loopback,5.07,44.595,104.8
stream-loopback,65536,262144,4,3,NA,NA,0.03,42.30,18.752,13.696,42.704,1.04,1.01,5860,11212,NA,0,2528,OK,loopback,5.06,44.595,104.4
stream-loopback,262144,1048576,4,1,NA,NA,0.10,180.13,30.657,24.288,174.497,1.58,1.49,5730,2891,NA,0,2528,OK,loopback,6.37,172.950,99.1
stream-loopback,262144,1048576,4,2,NA,NA,0.11,200.59,34.720,25.600,193.889,1.84,1.73,5152,2891,NA,0,2509,OK,loopback,9.12,172.950,89.2
stream-loopback,262144,1048576,4,3,NA,NA,0.16,200.13,36.080,26.272,203.184,1.46,1.41,4922,2891,NA,0,2515,OK,loopback,9.81,172.950,85.1
stream-loopback,1048576,4194304,4,1,NA,NA,0.22,663.25,100.193,78.560,670.978,8.86,7.89,5956,999,NA,0,2528,OK,loopback,21.63,686.371,102.3
stream-loopback,1048576,4194304,4,2,NA,NA,0.29,664.53,104.144,82.240,667.490,9.68,8.86,5992,999,NA,0,2528,OK,loopback,21.90,686.371,102.8
stream-loopback,1048576,4194304,4,3,NA,NA,0.27,654.64,105.601,83.296,669.730,9.52,8.69,5973,999,NA,0,2528,OK,loopback,22.30,686.371,102.5
