e2e_latency_us,transfer_latency_us,fft_exec_us,samples_per_sec,buffers_per_sec,mb_per_sec,cpu_util_pct,gpu_util_pct,buffer_size_samples,dropped_buffers,wire_latency_us
95.153,63.456,17.312,3.44372e+08,10509.4,1377.49,1.729,0,32768,0,82.736
98.401,66.304,18.304,3.33005e+08,10162.5,1332.02,1.729,0,32768,0,63.808
97.024,65.92,17.248,3.37731e+08,10306.7,1350.92,1.729,0,32768,0,39.025
96.304,65.6,16.576,3.40256e+08,10383.8,1361.02,1.729,0,32768,0,84.864
96.753,65.632,16.928,3.38677e+08,10335.6,1354.71,1.729,0,32768,0,54.256
97.057,65.312,16.736,3.37616e+08,10303.2,1350.46,1.729,0,32768,0,39.36
108.288,77.152,15.36,3.026e+08,9234.63,1210.4,1.729,0,32768,0,86.337
106.113,73.728,16.832,3.08803e+08,9423.92,1235.21,1.729,0,32768,0,73.52
98.305,66.88,17.472,3.3333e+08,10172.4,1333.32,1.729,0,32768,0,53.552
95.36,64.992,16.448,3.43624e+08,10486.6,1374.5,1.729,0,32768,0,39.873
97.968,66.4,17.024,3.34477e+08,10207.4,1337.91,1.729,0,32768,0,81.744
96.769,65.152,17.184,3.38621e+08,10333.9,1354.48,1.729,0,32768,0,55.712
223.009,192.416,16.512,1.46936e+08,4484.12,587.743,1.729,0,32768,0,39.216
213.409,183.52,15.968,1.53546e+08,4685.84,614.182,1.729,0,32768,0,74.32
280.53,248.032,17.824,1.16807e+08,3564.68,467.23,1.3832,0,32768,0,92.048
220.465,188.256,17.248,1.48631e+08,4535.87,594.525,1.3832,0,32768,0,40.4
104.352,71.168,19.008,3.14014e+08,9582.95,1256.06,1.3832,0,32768,0,64.321
216.145,185.312,16.544,1.51602e+08,4626.52,606.408,1.3832,0,32768,0,45.024
140.033,107.968,17.856,2.34002e+08,7141.17,936.008,1.3832,0,32768,0,68.032
109.984,77.632,17.376,2.97934e+08,9092.23,1191.74,1.3832,0,32768,0,88.001
213.169,182.4,16.608,1.53718e+08,4691.11,614.874,1.3832,0,32768,0,73.376
213.441,181.472,17.408,1.53523e+08,4685.14,614.09,1.3832,0,32768,0,91.824
212.865,182.016,16.896,1.53938e+08,4697.81,615.752,1.3832,0,32768,0,39.504
211.985,180.512,17.28,1.54577e+08,4717.31,618.308,1.3832,0,32768,0,56.96
212.849,181.952,16.352,1.5395e+08,4698.17,615.798,1.3832,0,32768,0,72.048
210.913,180.352,16.384,1.55363e+08,4741.29,621.451,1.3832,0,32768,0,91.552
211.665,181.024,16.384,1.54811e+08,4724.45,619.243,1.3832,0,32768,0,40.705
212.289,181.376,17.056,1.54356e+08,4710.56,617.422,1.3832,0,32768,0,55.024
210.801,180.48,16.352,1.55445e+08,4743.81,621.781,1.3832,0,32768,0,71.2
144.769,111.808,18.464,2.26347e+08,6907.56,905.387,1.3832,0,32768,0,65.472
100.496,69.824,16.512,3.26063e+08,9950.64,1304.25,1.3832,0,32768,0,83.825
213.489,181.664,17.376,1.53488e+08,4684.08,613.952,1.3832,0,32768,0,62.016
101.569,70.592,16.8,3.22618e+08,9845.52,1290.47,1.3832,0,32768,0,77.712
