e2e_latency_us,transfer_latency_us,fft_exec_us,samples_per_sec,buffers_per_sec,mb_per_sec,cpu_util_pct,gpu_util_pct,buffer_size_samples,dropped_buffers,wire_latency_us
78.144,34.144,17.984,5.24161e+07,12796.9,209.664,1.61538,0,4096,0,246.306
91.905,41.28,24.576,4.45678e+07,10880.8,178.271,1.61538,0,4096,0,232.993
80.688,36.48,17.728,5.07634e+07,12393.4,203.054,1.61538,0,4096,0,223.154
40.368,22.688,7.584,1.01467e+08,24772.1,405.866,1.61538,0,4096,0,128.161
33.472,18.208,5.568,1.22371e+08,29875.7,489.484,1.61538,0,4096,0,125.985
89.697,43.488,19.52,4.56648e+07,11148.6,182.659,1.61538,0,4096,0,235.857
83.68,40.768,17.024,4.89484e+07,11950.3,195.793,1.61538,0,4096,0,226.002
84.289,39.584,17.824,4.85947e+07,11863.9,194.379,1.61538,0,4096,0,232.129
84.224,40.448,18.688,4.86322e+07,11873.1,194.529,1.61538,0,4096,0,229.874
514.147,467.36,19.072,7.96659e+06,1944.97,31.8664,1.61538,0,4096,0,241.777
51.648,36.288,5.28,7.93061e+07,19361.8,317.224,1.61538,0,4096,0,317.954
79.473,35.296,17.536,5.15395e+07,12582.9,206.158,1.61538,0,4096,0,230.321
90.209,44.8,19.424,4.54057e+07,11085.4,181.623,1.61538,0,4096,0,117.712
86.928,34.752,17.6,4.71195e+07,11503.8,188.478,1.61538,0,4096,0,114.449
40.704,22.528,7.904,1.00629e+08,24567.6,402.516,1.61538,0,4096,0,23.088
84.753,41.056,17.856,4.83287e+07,11799,193.315,1.61538,0,4096,0,243.281
91.905,48.288,17.536,4.45678e+07,10880.8,178.271,1.61538,0,4096,0,115.872
471.346,424.352,19.456,8.69001e+06,2121.58,34.76,1.61538,0,4096,0,115.153
615.94,582.272,19.744,6.65e+06,1623.53,26.6,1.61538,0,4096,0,148.16
746.18,713.248,19.072,5.48929e+06,1340.16,21.9572,1.61538,0,4096,0,333.698
271.618,237.92,19.456,1.508e+07,3681.64,60.32,2.24469,0,4096,0,646.787
42.448,27.104,6.304,9.64945e+07,23558.2,385.978,2.24469,0,4096,0,489.347
74.161,58.496,5.792,5.52312e+07,13484.2,220.925,2.24469,0,4096,0,126.368
132.721,117.216,5.568,3.08617e+07,7534.6,123.447,2.24469,0,4096,0,24.256
517.923,472.288,18.72,7.90851e+06,1930.79,31.634,2.24469,0,4096,0,243.185
319.538,279.04,26.88,1.28185e+07,3129.52,51.274,2.24469,0,4096,0,331.81
287.393,252.992,20.032,1.42523e+07,3479.56,57.009,2.24469,0,4096,0,219.169
45.328,27.84,8.224,9.03636e+07,22061.4,361.454,2.24469,0,4096,0,133.313
340.354,293.664,19.072,1.20345e+07,2938.12,48.1381,2.24469,0,4096,0,443.426
319.906,285.44,20.224,1.28038e+07,3125.92,51.215,2.24469,0,4096,0,340.578
