arm,size,kb,rep,write_p50,fft_p50,total_p50,fft_p90,us_per_mb,n,note,gitsha
ha_align,1048576,4096,1,56.913,61.248,118.161,63.040,29.540,2000,cudaHostAlloc, 2 MB aligned,b498987
ha_off,1048576,4096,1,58.849,57.952,116.801,60.064,29.200,2000,cudaHostAlloc, offset 256 B past 2 MB,b498987
reg_align,1048576,4096,1,115.904,66.784,182.688,69.568,45.672,2000,/dev/shm + cudaHostRegister, 2 MB aligned,b498987
reg_off,1048576,4096,1,118.080,67.168,185.248,70.208,46.312,2000,/dev/shm + cudaHostRegister, offset 256 B past 2 MB,b498987
ha_align,1048576,4096,2,56.880,60.992,117.872,62.848,29.468,2000,cudaHostAlloc, 2 MB aligned,b498987
ha_off,1048576,4096,2,58.545,58.112,116.657,60.608,29.164,2000,cudaHostAlloc, offset 256 B past 2 MB,b498987
reg_align,1048576,4096,2,115.665,66.848,182.513,69.600,45.628,2000,/dev/shm + cudaHostRegister, 2 MB aligned,b498987
reg_off,1048576,4096,2,118.464,67.040,185.504,69.888,46.376,2000,/dev/shm + cudaHostRegister, offset 256 B past 2 MB,b498987
ha_align,1048576,4096,3,56.880,60.928,117.808,62.848,29.452,2000,cudaHostAlloc, 2 MB aligned,b498987
ha_off,1048576,4096,3,58.384,58.496,116.880,60.960,29.220,2000,cudaHostAlloc, offset 256 B past 2 MB,b498987
reg_align,1048576,4096,3,116.097,66.688,182.785,69.696,45.696,2000,/dev/shm + cudaHostRegister, 2 MB aligned,b498987
reg_off,1048576,4096,3,118.305,67.200,185.505,70.080,46.376,2000,/dev/shm + cudaHostRegister, offset 256 B past 2 MB,b498987
ha_align,1048576,4096,4,56.816,61.280,118.096,63.072,29.524,2000,cudaHostAlloc, 2 MB aligned,b498987
ha_off,1048576,4096,4,58.560,58.208,116.768,60.608,29.192,2000,cudaHostAlloc, offset 256 B past 2 MB,b498987
reg_align,1048576,4096,4,115.617,66.848,182.465,69.600,45.616,2000,/dev/shm + cudaHostRegister, 2 MB aligned,b498987
reg_off,1048576,4096,4,118.273,67.200,185.473,69.984,46.368,2000,/dev/shm + cudaHostRegister, offset 256 B past 2 MB,b498987
ha_align,1048576,4096,5,56.816,61.216,118.032,63.040,29.508,2000,cudaHostAlloc, 2 MB aligned,b498987
ha_off,1048576,4096,5,58.385,58.560,116.945,60.960,29.236,2000,cudaHostAlloc, offset 256 B past 2 MB,b498987
reg_align,1048576,4096,5,115.393,66.976,182.369,69.696,45.592,2000,/dev/shm + cudaHostRegister, 2 MB aligned,b498987
reg_off,1048576,4096,5,118.321,67.360,185.681,70.336,46.420,2000,/dev/shm + cudaHostRegister, offset 256 B past 2 MB,b498987
