arm,size,kb,rep,write_p50,fft_p50,total_p50,fft_p90,us_per_mb,n,note,gitsha
ha_align,1048576,4096,1,0.032,53.728,53.760,54.912,13.440,2000,cudaHostAlloc, 2 MB aligned; NO CPU WRITE in the timed loop,b498987
ha_off,1048576,4096,1,0.032,51.616,51.648,52.704,12.912,2000,cudaHostAlloc, offset 256 B past 2 MB; NO CPU WRITE in the timed loop,b498987
reg_align,1048576,4096,1,0.032,42.400,42.432,43.488,10.608,2000,/dev/shm + cudaHostRegister, 2 MB aligned; NO CPU WRITE in the timed loop,b498987
reg_off,1048576,4096,1,0.032,41.440,41.472,42.560,10.368,2000,/dev/shm + cudaHostRegister, offset 256 B past 2 MB; NO CPU WRITE in the timed loop,b498987
ha_align,1048576,4096,2,0.032,53.792,53.824,55.648,13.456,2000,cudaHostAlloc, 2 MB aligned; NO CPU WRITE in the timed loop,b498987
ha_off,1048576,4096,2,0.032,51.648,51.680,52.704,12.920,2000,cudaHostAlloc, offset 256 B past 2 MB; NO CPU WRITE in the timed loop,b498987
reg_align,1048576,4096,2,0.032,42.400,42.432,43.488,10.608,2000,/dev/shm + cudaHostRegister, 2 MB aligned; NO CPU WRITE in the timed loop,b498987
reg_off,1048576,4096,2,0.032,41.440,41.472,42.560,10.368,2000,/dev/shm + cudaHostRegister, offset 256 B past 2 MB; NO CPU WRITE in the timed loop,b498987
ha_align,1048576,4096,3,0.032,54.656,54.688,55.744,13.672,2000,cudaHostAlloc, 2 MB aligned; NO CPU WRITE in the timed loop,b498987
ha_off,1048576,4096,3,0.032,51.680,51.712,53.568,12.928,2000,cudaHostAlloc, offset 256 B past 2 MB; NO CPU WRITE in the timed loop,b498987
reg_align,1048576,4096,3,0.032,42.432,42.464,43.520,10.616,2000,/dev/shm + cudaHostRegister, 2 MB aligned; NO CPU WRITE in the timed loop,b498987
reg_off,1048576,4096,3,0.032,41.440,41.472,43.168,10.368,2000,/dev/shm + cudaHostRegister, offset 256 B past 2 MB; NO CPU WRITE in the timed loop,b498987
ha_align,1048576,4096,4,0.032,54.688,54.720,55.744,13.680,2000,cudaHostAlloc, 2 MB aligned; NO CPU WRITE in the timed loop,b498987
ha_off,1048576,4096,4,0.032,51.776,51.808,53.664,12.952,2000,cudaHostAlloc, offset 256 B past 2 MB; NO CPU WRITE in the timed loop,b498987
reg_align,1048576,4096,4,0.032,42.400,42.432,43.488,10.608,2000,/dev/shm + cudaHostRegister, 2 MB aligned; NO CPU WRITE in the timed loop,b498987
reg_off,1048576,4096,4,0.032,41.408,41.440,42.560,10.360,2000,/dev/shm + cudaHostRegister, offset 256 B past 2 MB; NO CPU WRITE in the timed loop,b498987
ha_align,1048576,4096,5,0.032,54.720,54.752,55.776,13.688,2000,cudaHostAlloc, 2 MB aligned; NO CPU WRITE in the timed loop,b498987
ha_off,1048576,4096,5,0.032,52.544,52.576,53.696,13.144,2000,cudaHostAlloc, offset 256 B past 2 MB; NO CPU WRITE in the timed loop,b498987
reg_align,1048576,4096,5,0.032,42.432,42.464,43.520,10.616,2000,/dev/shm + cudaHostRegister, 2 MB aligned; NO CPU WRITE in the timed loop,b498987
reg_off,1048576,4096,5,0.032,41.440,41.472,42.560,10.368,2000,/dev/shm + cudaHostRegister, offset 256 B past 2 MB; NO CPU WRITE in the timed loop,b498987
