arm,size,kb,rep,write_p50,fft_p50,total_p50,fft_p90,us_per_mb,n,note,gitsha
hostalloc,4096,16,1,0.160,4.384,4.544,5.408,290.816,200,-,6070ae1
ha_def,4096,16,1,0.160,4.416,4.576,6.112,292.864,200,cudaHostAlloc Default,6070ae1
ha_wc,4096,16,1,0.160,4.384,4.544,5.088,290.816,200,cudaHostAlloc WriteCombined (uncached for CPU reads; our producer only writes),6070ae1
ha_wcmap,4096,16,1,0.160,4.416,4.576,5.056,292.864,200,cudaHostAlloc Mapped|WriteCombined,6070ae1
shmreg,4096,16,1,1.248,4.800,6.048,6.144,387.072,200,-,6070ae1
shmreg_def,4096,16,1,1.312,4.896,6.208,6.112,397.312,200,cudaHostRegister Default,6070ae1
shmreg_port,4096,16,1,1.312,4.832,6.144,6.144,393.216,200,cudaHostRegister Portable,6070ae1
shmreg_big,4096,16,1,1.312,4.928,6.240,6.144,399.360,200,registration span rounded up to 2 MB,6070ae1
hostalloc,4096,16,2,0.160,6.176,6.336,6.272,405.504,200,-,6070ae1
ha_def,4096,16,2,0.160,6.144,6.304,6.272,403.456,200,cudaHostAlloc Default,6070ae1
ha_wc,4096,16,2,0.160,6.112,6.272,6.272,401.408,200,cudaHostAlloc WriteCombined (uncached for CPU reads; our producer only writes),6070ae1
ha_wcmap,4096,16,2,0.160,6.080,6.240,6.240,399.360,200,cudaHostAlloc Mapped|WriteCombined,6070ae1
shmreg,4096,16,2,1.264,4.864,6.128,6.144,392.192,200,-,6070ae1
shmreg_def,4096,16,2,1.360,4.864,6.224,6.144,398.336,200,cudaHostRegister Default,6070ae1
shmreg_port,4096,16,2,1.376,4.864,6.240,6.112,399.360,200,cudaHostRegister Portable,6070ae1
shmreg_big,4096,16,2,1.360,4.864,6.224,6.112,398.336,200,registration span rounded up to 2 MB,6070ae1
hostalloc,4096,16,3,0.160,6.176,6.336,6.272,405.504,200,-,6070ae1
ha_def,4096,16,3,0.160,6.176,6.336,6.272,405.504,200,cudaHostAlloc Default,6070ae1
ha_wc,4096,16,3,0.160,6.144,6.304,6.272,403.456,200,cudaHostAlloc WriteCombined (uncached for CPU reads; our producer only writes),6070ae1
