arm,size,kb,rep,fft_p50,fft_p90,us_per_mb,n,note,gitsha
device,4096,16,1,4.544,4.672,290.816,200,-,50ce845
hostalloc,4096,16,1,4.576,4.704,292.864,200,-,50ce845
heapreg,4096,16,1,4.576,4.672,292.864,200,-,50ce845
shmreg,4096,16,1,4.544,4.672,290.816,200,-,50ce845
hugereg,4096,16,1,4.544,4.672,290.816,200,THP(payload<2MB, no effect),50ce845
device,4096,16,2,4.608,4.672,294.912,200,-,50ce845
hostalloc,4096,16,2,4.608,4.672,294.912,200,-,50ce845
heapreg,4096,16,2,4.608,4.704,294.912,200,-,50ce845
shmreg,4096,16,2,4.608,4.672,294.912,200,-,50ce845
hugereg,4096,16,2,4.576,4.672,292.864,200,THP(payload<2MB, no effect),50ce845
device,4096,16,3,4.704,6.208,301.056,200,-,50ce845
hostalloc,4096,16,3,4.704,7.488,301.056,200,-,50ce845
heapreg,4096,16,3,4.672,5.696,299.008,200,-,50ce845
shmreg,4096,16,3,4.704,5.600,301.056,200,-,50ce845
hugereg,4096,16,3,4.672,6.496,299.008,200,THP(payload<2MB, no effect),50ce845
device,4096,16,4,4.608,4.704,294.912,200,-,50ce845
hostalloc,4096,16,4,4.640,4.704,296.960,200,-,50ce845
heapreg,4096,16,4,4.608,4.672,294.912,200,-,50ce845
shmreg,4096,16,4,4.608,4.704,294.912,200,-,50ce845
hugereg,4096,16,4,4.608,4.704,294.912,200,THP(payload<2MB, no effect),50ce845
device,4096,16,5,4.640,4.672,296.960,200,-,50ce845
hostalloc,4096,16,5,4.608,4.672,294.912,200,-,50ce845
heapreg,4096,16,5,4.608,4.672,294.912,200,-,50ce845
shmreg,4096,16,5,4.608,4.672,294.912,200,-,50ce845
hugereg,4096,16,5,4.608,4.672,294.912,200,THP(payload<2MB, no effect),50ce845
device,8192,32,1,6.880,7.456,220.160,200,-,50ce845
hostalloc,8192,32,1,7.136,7.552,228.352,200,-,50ce845
heapreg,8192,32,1,6.784,7.456,217.088,200,-,50ce845
shmreg,8192,32,1,6.816,7.488,218.112,200,-,50ce845
hugereg,8192,32,1,7.040,7.456,225.280,200,THP(payload<2MB, no effect),50ce845
device,8192,32,2,6.688,6.784,214.016,200,-,50ce845
hostalloc,8192,32,2,6.688,6.752,214.016,200,-,50ce845
heapreg,8192,32,2,6.688,6.752,214.016,200,-,50ce845
shmreg,8192,32,2,6.688,6.752,214.016,200,-,50ce845
hugereg,8192,32,2,6.688,6.752,214.016,200,THP(payload<2MB, no effect),50ce845
device,8192,32,3,6.720,6.784,215.040,200,-,50ce845
hostalloc,8192,32,3,6.688,6.784,214.016,200,-,50ce845
heapreg,8192,32,3,6.720,6.784,215.040,200,-,50ce845
shmreg,8192,32,3,6.720,6.784,215.040,200,-,50ce845
hugereg,8192,32,3,6.720,6.784,215.040,200,THP(payload<2MB, no effect),50ce845
device,8192,32,4,6.720,6.784,215.040,200,-,50ce845
hostalloc,8192,32,4,6.720,6.784,215.040,200,-,50ce845
heapreg,8192,32,4,6.720,6.784,215.040,200,-,50ce845
shmreg,8192,32,4,6.720,6.784,215.040,200,-,50ce845
hugereg,8192,32,4,6.720,6.784,215.040,200,THP(payload<2MB, no effect),50ce845
device,8192,32,5,6.720,6.784,215.040,200,-,50ce845
hostalloc,8192,32,5,6.720,6.784,215.040,200,-,50ce845
heapreg,8192,32,5,6.720,6.784,215.040,200,-,50ce845
shmreg,8192,32,5,6.720,6.784,215.040,200,-,50ce845
hugereg,8192,32,5,6.720,6.784,215.040,200,THP(payload<2MB, no effect),50ce845
device,16384,64,1,8.416,8.672,134.656,200,-,50ce845
hostalloc,16384,64,1,8.448,8.704,135.168,200,-,50ce845
heapreg,16384,64,1,8.448,8.704,135.168,200,-,50ce845
shmreg,16384,64,1,8.416,8.640,134.656,200,-,50ce845
hugereg,16384,64,1,8.416,8.672,134.656,200,THP(payload<2MB, no effect),50ce845
device,16384,64,2,8.672,10.176,138.752,200,-,50ce845
hostalloc,16384,64,2,8.736,10.080,139.776,200,-,50ce845
heapreg,16384,64,2,8.640,9.984,138.240,200,-,50ce845
shmreg,16384,64,2,8.704,10.016,139.264,200,-,50ce845
hugereg,16384,64,2,8.704,10.144,139.264,200,THP(payload<2MB, no effect),50ce845
device,16384,64,3,8.448,8.768,135.168,200,-,50ce845
hostalloc,16384,64,3,8.448,8.768,135.168,200,-,50ce845
heapreg,16384,64,3,8.448,8.768,135.168,200,-,50ce845
shmreg,16384,64,3,8.448,8.768,135.168,200,-,50ce845
hugereg,16384,64,3,8.448,8.768,135.168,200,THP(payload<2MB, no effect),50ce845
device,16384,64,4,8.448,8.768,135.168,200,-,50ce845
hostalloc,16384,64,4,8.480,8.800,135.680,200,-,50ce845
heapreg,16384,64,4,8.448,8.768,135.168,200,-,50ce845
shmreg,16384,64,4,8.480,8.768,135.680,200,-,50ce845
hugereg,16384,64,4,8.448,8.800,135.168,200,THP(payload<2MB, no effect),50ce845
device,16384,64,5,8.448,8.672,135.168,200,-,50ce845
hostalloc,16384,64,5,8.448,8.736,135.168,200,-,50ce845
heapreg,16384,64,5,8.448,8.736,135.168,200,-,50ce845
shmreg,16384,64,5,8.448,8.736,135.168,200,-,50ce845
hugereg,16384,64,5,8.448,8.736,135.168,200,THP(payload<2MB, no effect),50ce845
device,32768,128,1,13.696,14.816,109.568,200,-,50ce845
hostalloc,32768,128,1,14.720,15.552,117.760,200,-,50ce845
heapreg,32768,128,1,13.696,14.816,109.568,200,-,50ce845
shmreg,32768,128,1,13.632,14.816,109.056,200,-,50ce845
hugereg,32768,128,1,13.632,14.784,109.056,200,THP(payload<2MB, no effect),50ce845
device,32768,128,2,13.664,14.720,109.312,200,-,50ce845
hostalloc,32768,128,2,14.656,15.456,117.248,200,-,50ce845
heapreg,32768,128,2,13.632,14.720,109.056,200,-,50ce845
shmreg,32768,128,2,13.632,14.752,109.056,200,-,50ce845
hugereg,32768,128,2,13.632,14.720,109.056,200,THP(payload<2MB, no effect),50ce845
device,32768,128,3,14.592,14.784,116.736,200,-,50ce845
hostalloc,32768,128,3,14.656,15.392,117.248,200,-,50ce845
heapreg,32768,128,3,13.664,14.752,109.312,200,-,50ce845
shmreg,32768,128,3,14.592,14.784,116.736,200,-,50ce845
hugereg,32768,128,3,14.560,14.784,116.480,200,THP(payload<2MB, no effect),50ce845
device,32768,128,4,14.560,14.752,116.480,200,-,50ce845
hostalloc,32768,128,4,14.656,14.976,117.248,200,-,50ce845
heapreg,32768,128,4,14.528,14.720,116.224,200,-,50ce845
shmreg,32768,128,4,14.592,14.784,116.736,200,-,50ce845
hugereg,32768,128,4,14.592,14.784,116.736,200,THP(payload<2MB, no effect),50ce845
device,32768,128,5,14.624,14.784,116.992,200,-,50ce845
hostalloc,32768,128,5,14.656,15.392,117.248,200,-,50ce845
heapreg,32768,128,5,14.592,14.720,116.736,200,-,50ce845
shmreg,32768,128,5,14.592,14.752,116.736,200,-,50ce845
hugereg,32768,128,5,14.592,14.752,116.736,200,THP(payload<2MB, no effect),50ce845
device,65536,256,1,14.624,14.720,58.496,200,-,50ce845
hostalloc,65536,256,1,17.664,17.760,70.656,200,-,50ce845
heapreg,65536,256,1,14.624,14.720,58.496,200,-,50ce845
shmreg,65536,256,1,14.624,14.720,58.496,200,-,50ce845
hugereg,65536,256,1,14.624,14.752,58.496,200,THP(payload<2MB, no effect),50ce845
device,65536,256,2,14.560,14.688,58.240,200,-,50ce845
hostalloc,65536,256,2,16.512,17.728,66.048,200,-,50ce845
heapreg,65536,256,2,14.528,14.688,58.112,200,-,50ce845
shmreg,65536,256,2,14.560,14.720,58.240,200,-,50ce845
hugereg,65536,256,2,14.560,14.752,58.240,200,THP(payload<2MB, no effect),50ce845
device,65536,256,3,14.624,14.720,58.496,200,-,50ce845
hostalloc,65536,256,3,17.664,17.760,70.656,200,-,50ce845
heapreg,65536,256,3,14.624,14.752,58.496,200,-,50ce845
shmreg,65536,256,3,14.624,14.688,58.496,200,-,50ce845
hugereg,65536,256,3,14.592,14.720,58.368,200,THP(payload<2MB, no effect),50ce845
device,65536,256,4,14.592,14.688,58.368,200,-,50ce845
hostalloc,65536,256,4,17.664,17.728,70.656,200,-,50ce845
heapreg,65536,256,4,14.592,14.688,58.368,200,-,50ce845
shmreg,65536,256,4,14.592,14.688,58.368,200,-,50ce845
hugereg,65536,256,4,14.592,14.688,58.368,200,THP(payload<2MB, no effect),50ce845
device,65536,256,5,14.624,14.688,58.496,200,-,50ce845
hostalloc,65536,256,5,17.664,17.760,70.656,200,-,50ce845
heapreg,65536,256,5,14.592,14.688,58.368,200,-,50ce845
shmreg,65536,256,5,14.560,14.688,58.240,200,-,50ce845
hugereg,65536,256,5,14.592,14.688,58.368,200,THP(payload<2MB, no effect),50ce845
device,131072,512,1,16.960,17.024,33.920,200,-,50ce845
hostalloc,131072,512,1,19.008,19.072,38.016,200,-,50ce845
heapreg,131072,512,1,16.960,17.024,33.920,200,-,50ce845
shmreg,131072,512,1,16.960,17.024,33.920,200,-,50ce845
hugereg,131072,512,1,16.960,17.024,33.920,200,THP(payload<2MB, no effect),50ce845
device,131072,512,2,16.960,17.824,33.920,200,-,50ce845
hostalloc,131072,512,2,19.040,19.936,38.080,200,-,50ce845
heapreg,131072,512,2,16.960,17.824,33.920,200,-,50ce845
shmreg,131072,512,2,16.960,17.760,33.920,200,-,50ce845
hugereg,131072,512,2,16.960,17.824,33.920,200,THP(payload<2MB, no effect),50ce845
device,131072,512,3,16.960,17.824,33.920,200,-,50ce845
hostalloc,131072,512,3,19.008,19.904,38.016,200,-,50ce845
heapreg,131072,512,3,16.928,17.760,33.856,200,-,50ce845
shmreg,131072,512,3,16.960,17.728,33.920,200,-,50ce845
hugereg,131072,512,3,16.960,17.792,33.920,200,THP(payload<2MB, no effect),50ce845
device,131072,512,4,16.960,17.024,33.920,200,-,50ce845
hostalloc,131072,512,4,19.008,19.072,38.016,200,-,50ce845
heapreg,131072,512,4,16.928,17.024,33.856,200,-,50ce845
shmreg,131072,512,4,16.960,17.024,33.920,200,-,50ce845
hugereg,131072,512,4,16.960,17.024,33.920,200,THP(payload<2MB, no effect),50ce845
device,131072,512,5,16.960,17.024,33.920,200,-,50ce845
hostalloc,131072,512,5,19.008,19.072,38.016,200,-,50ce845
heapreg,131072,512,5,16.960,17.024,33.920,200,-,50ce845
shmreg,131072,512,5,16.960,17.024,33.920,200,-,50ce845
hugereg,131072,512,5,16.960,17.024,33.920,200,THP(payload<2MB, no effect),50ce845
device,262144,1024,1,16.960,17.824,16.960,200,-,50ce845
hostalloc,262144,1024,1,20.064,20.800,20.064,200,-,50ce845
heapreg,262144,1024,1,16.960,17.728,16.960,200,-,50ce845
shmreg,262144,1024,1,16.960,17.824,16.960,200,-,50ce845
hugereg,262144,1024,1,16.960,17.760,16.960,200,THP(payload<2MB, no effect),50ce845
device,262144,1024,2,16.960,17.024,16.960,200,-,50ce845
hostalloc,262144,1024,2,20.032,20.096,20.032,200,-,50ce845
heapreg,262144,1024,2,16.928,16.992,16.928,200,-,50ce845
shmreg,262144,1024,2,16.960,17.024,16.960,200,-,50ce845
hugereg,262144,1024,2,16.960,17.024,16.960,200,THP(payload<2MB, no effect),50ce845
device,262144,1024,3,16.960,17.792,16.960,200,-,50ce845
hostalloc,262144,1024,3,20.064,20.800,20.064,200,-,50ce845
heapreg,262144,1024,3,16.928,17.792,16.928,200,-,50ce845
shmreg,262144,1024,3,16.960,17.728,16.960,200,-,50ce845
hugereg,262144,1024,3,16.960,17.824,16.960,200,THP(payload<2MB, no effect),50ce845
device,262144,1024,4,16.992,17.856,16.992,200,-,50ce845
hostalloc,262144,1024,4,20.064,20.864,20.064,200,-,50ce845
heapreg,262144,1024,4,16.928,17.824,16.928,200,-,50ce845
shmreg,262144,1024,4,16.960,17.824,16.960,200,-,50ce845
hugereg,262144,1024,4,16.992,17.824,16.992,200,THP(payload<2MB, no effect),50ce845
device,262144,1024,5,16.960,17.056,16.960,200,-,50ce845
hostalloc,262144,1024,5,20.032,20.128,20.032,200,-,50ce845
heapreg,262144,1024,5,16.928,16.992,16.928,200,-,50ce845
shmreg,262144,1024,5,16.960,17.024,16.960,200,-,50ce845
hugereg,262144,1024,5,16.960,17.024,16.960,200,THP(payload<2MB, no effect),50ce845
device,524288,2048,1,21.056,23.136,10.528,200,-,50ce845
hostalloc,524288,2048,1,27.136,28.928,13.568,200,-,50ce845
heapreg,524288,2048,1,21.056,23.264,10.528,200,-,50ce845
shmreg,524288,2048,1,21.056,23.104,10.528,200,-,50ce845
hugereg,524288,2048,1,21.088,23.168,10.544,200,THP,50ce845
device,524288,2048,2,21.984,23.904,10.992,200,-,50ce845
hostalloc,524288,2048,2,27.168,29.440,13.584,200,-,50ce845
heapreg,524288,2048,2,21.696,23.936,10.848,200,-,50ce845
shmreg,524288,2048,2,21.856,23.904,10.928,200,-,50ce845
hugereg,524288,2048,2,21.888,23.936,10.944,200,THP,50ce845
device,524288,2048,3,21.024,23.072,10.512,200,-,50ce845
hostalloc,524288,2048,3,27.104,27.232,13.552,200,-,50ce845
heapreg,524288,2048,3,21.024,23.040,10.512,200,-,50ce845
shmreg,524288,2048,3,21.024,23.072,10.512,200,-,50ce845
hugereg,524288,2048,3,21.024,23.072,10.512,200,THP,50ce845
device,524288,2048,4,21.056,23.200,10.528,200,-,50ce845
hostalloc,524288,2048,4,27.136,29.024,13.568,200,-,50ce845
heapreg,524288,2048,4,21.056,23.104,10.528,200,-,50ce845
shmreg,524288,2048,4,21.088,23.104,10.544,200,-,50ce845
hugereg,524288,2048,4,21.056,23.104,10.528,200,THP,50ce845
device,524288,2048,5,21.856,23.136,10.928,200,-,50ce845
hostalloc,524288,2048,5,27.104,28.960,13.552,200,-,50ce845
heapreg,524288,2048,5,21.056,23.104,10.528,200,-,50ce845
shmreg,524288,2048,5,21.088,23.136,10.544,200,-,50ce845
hugereg,524288,2048,5,21.056,23.104,10.528,200,THP,50ce845
device,1048576,4096,1,47.584,49.504,11.896,200,-,50ce845
hostalloc,1048576,4096,1,53.664,55.200,13.416,200,-,50ce845
heapreg,1048576,4096,1,53.600,55.488,13.400,200,-,50ce845
shmreg,1048576,4096,1,53.696,55.680,13.424,200,-,50ce845
hugereg,1048576,4096,1,53.440,54.816,13.360,200,THP,50ce845
device,1048576,4096,2,47.552,48.608,11.888,200,-,50ce845
hostalloc,1048576,4096,2,53.664,54.816,13.416,200,-,50ce845
heapreg,1048576,4096,2,53.632,54.720,13.408,200,-,50ce845
shmreg,1048576,4096,2,53.664,54.752,13.416,200,-,50ce845
hugereg,1048576,4096,2,52.672,54.624,13.168,200,THP,50ce845
device,1048576,4096,3,47.552,48.640,11.888,200,-,50ce845
hostalloc,1048576,4096,3,53.696,54.784,13.424,200,-,50ce845
heapreg,1048576,4096,3,53.600,54.688,13.400,200,-,50ce845
shmreg,1048576,4096,3,53.664,54.752,13.416,200,-,50ce845
hugereg,1048576,4096,3,52.704,54.688,13.176,200,THP,50ce845
device,1048576,4096,4,47.584,49.568,11.896,200,-,50ce845
hostalloc,1048576,4096,4,53.696,55.584,13.424,200,-,50ce845
heapreg,1048576,4096,4,53.632,54.880,13.408,200,-,50ce845
