arm,size,kb,rep,write_p50,fft_p50,total_p50,fft_p90,us_per_mb,n,note,gitsha
mgdwrite,4096,16,1,1.376,4.896,6.272,6.112,401.408,200,managed, preferred location = GPU,50ce845
device,4096,16,1,2.000,4.992,6.992,6.656,447.488,200,-,50ce845
hostalloc,4096,16,1,0.160,4.384,4.544,6.112,290.816,200,-,50ce845
heapreg,4096,16,1,1.248,4.928,6.176,6.112,395.264,200,-,50ce845
shmreg,4096,16,1,1.312,4.896,6.208,6.080,397.312,200,-,50ce845
hugereg,4096,16,1,1.264,4.928,6.192,6.112,396.288,200,THP(payload<2MB, no effect),50ce845
mgdwrite,4096,16,2,1.376,5.920,7.296,6.112,466.944,200,managed, preferred location = GPU,50ce845
device,4096,16,2,1.936,4.896,6.832,5.024,437.248,200,-,50ce845
hostalloc,4096,16,2,0.160,4.384,4.544,4.448,290.816,200,-,50ce845
heapreg,4096,16,2,1.264,4.768,6.032,6.112,386.048,200,-,50ce845
shmreg,4096,16,2,1.296,4.928,6.224,6.112,398.336,200,-,50ce845
hugereg,4096,16,2,1.280,4.768,6.048,6.080,387.072,200,THP(payload<2MB, no effect),50ce845
mgdwrite,4096,16,3,1.376,5.920,7.296,6.112,466.944,200,managed, preferred location = GPU,50ce845
device,4096,16,3,1.936,4.896,6.832,4.992,437.248,200,-,50ce845
hostalloc,4096,16,3,0.160,4.384,4.544,4.480,290.816,200,-,50ce845
heapreg,4096,16,3,1.264,4.416,5.680,6.144,363.520,200,-,50ce845
shmreg,4096,16,3,1.344,4.992,6.336,6.112,405.504,200,-,50ce845
hugereg,4096,16,3,1.280,4.896,6.176,6.080,395.264,200,THP(payload<2MB, no effect),50ce845
mgdwrite,4096,16,4,1.360,5.952,7.312,6.112,467.968,200,managed, preferred location = GPU,50ce845
device,4096,16,4,1.936,4.928,6.864,5.024,439.296,200,-,50ce845
hostalloc,4096,16,4,0.160,4.384,4.544,4.448,290.816,200,-,50ce845
heapreg,4096,16,4,1.264,4.800,6.064,6.112,388.096,200,-,50ce845
shmreg,4096,16,4,1.344,4.928,6.272,6.080,401.408,200,-,50ce845
hugereg,4096,16,4,1.280,4.864,6.144,6.112,393.216,200,THP(payload<2MB, no effect),50ce845
mgdwrite,4096,16,5,1.344,5.952,7.296,6.144,466.944,200,managed, preferred location = GPU,50ce845
device,4096,16,5,1.936,4.928,6.864,5.056,439.296,200,-,50ce845
hostalloc,4096,16,5,0.160,4.384,4.544,4.480,290.816,200,-,50ce845
heapreg,4096,16,5,1.248,4.384,5.632,6.112,360.448,200,-,50ce845
shmreg,4096,16,5,1.344,4.896,6.240,6.080,399.360,200,-,50ce845
hugereg,4096,16,5,1.280,5.696,6.976,6.112,446.464,200,THP(payload<2MB, no effect),50ce845
mgdwrite,16384,64,1,3.072,8.608,11.680,10.112,186.880,200,managed, preferred location = GPU,50ce845
device,16384,64,1,2.496,9.120,11.616,9.504,185.856,200,-,50ce845
hostalloc,16384,64,1,0.576,8.864,9.440,9.856,151.040,200,-,50ce845
heapreg,16384,64,1,3.168,8.992,12.160,10.240,194.560,200,-,50ce845
shmreg,16384,64,1,3.152,8.896,12.048,10.208,192.768,200,-,50ce845
hugereg,16384,64,1,3.200,8.928,12.128,10.240,194.048,200,THP(payload<2MB, no effect),50ce845
mgdwrite,16384,64,2,3.120,8.576,11.696,10.048,187.136,200,managed, preferred location = GPU,50ce845
device,16384,64,2,2.464,9.248,11.712,9.568,187.392,200,-,50ce845
hostalloc,16384,64,2,0.560,8.864,9.424,9.824,150.784,200,-,50ce845
heapreg,16384,64,2,3.200,9.120,12.320,10.240,197.120,200,-,50ce845
shmreg,16384,64,2,3.216,8.928,12.144,10.208,194.304,200,-,50ce845
hugereg,16384,64,2,3.296,8.896,12.192,10.240,195.072,200,THP(payload<2MB, no effect),50ce845
mgdwrite,16384,64,3,3.104,8.480,11.584,10.048,185.344,200,managed, preferred location = GPU,50ce845
device,16384,64,3,2.480,9.184,11.664,9.504,186.624,200,-,50ce845
hostalloc,16384,64,3,0.560,8.864,9.424,9.024,150.784,200,-,50ce845
heapreg,16384,64,3,3.184,8.864,12.048,10.240,192.768,200,-,50ce845
shmreg,16384,64,3,3.232,8.832,12.064,10.208,193.024,200,-,50ce845
hugereg,16384,64,3,3.216,8.960,12.176,10.240,194.816,200,THP(payload<2MB, no effect),50ce845
mgdwrite,16384,64,4,3.040,8.672,11.712,10.240,187.392,200,managed, preferred location = GPU,50ce845
device,16384,64,4,2.464,8.928,11.392,9.536,182.272,200,-,50ce845
hostalloc,16384,64,4,0.560,8.864,9.424,10.208,150.784,200,-,50ce845
heapreg,16384,64,4,3.168,9.568,12.736,11.072,203.776,200,-,50ce845
shmreg,16384,64,4,3.184,8.992,12.176,10.912,194.816,200,-,50ce845
hugereg,16384,64,4,3.168,9.120,12.288,10.592,196.608,200,THP(payload<2MB, no effect),50ce845
mgdwrite,16384,64,5,3.072,8.480,11.552,10.112,184.832,200,managed, preferred location = GPU,50ce845
device,16384,64,5,2.480,9.312,11.792,9.536,188.672,200,-,50ce845
hostalloc,16384,64,5,0.560,8.864,9.424,8.960,150.784,200,-,50ce845
heapreg,16384,64,5,3.248,9.024,12.272,10.240,196.352,200,-,50ce845
shmreg,16384,64,5,3.296,8.896,12.192,10.176,195.072,200,-,50ce845
hugereg,16384,64,5,3.296,9.024,12.320,10.240,197.120,200,THP(payload<2MB, no effect),50ce845
mgdwrite,65536,256,1,9.936,15.840,25.776,16.768,103.104,200,managed, preferred location = GPU,50ce845
device,65536,256,1,247.009,29.696,276.705,32.096,1106.820,200,-,50ce845
hostalloc,65536,256,1,12.416,16.416,28.832,17.856,115.328,200,-,50ce845
heapreg,65536,256,1,10.384,16.416,26.800,18.208,107.200,200,-,50ce845
shmreg,65536,256,1,9.936,15.776,25.712,16.960,102.848,200,-,50ce845
hugereg,65536,256,1,9.968,15.808,25.776,16.960,103.104,200,THP(payload<2MB, no effect),50ce845
mgdwrite,65536,256,2,9.952,15.808,25.760,16.288,103.040,200,managed, preferred location = GPU,50ce845
device,65536,256,2,200.960,15.712,216.672,30.848,866.688,200,-,50ce845
hostalloc,65536,256,2,10.640,16.384,27.024,17.440,108.096,200,-,50ce845
heapreg,65536,256,2,10.432,16.384,26.816,17.152,107.264,200,-,50ce845
shmreg,65536,256,2,9.936,15.808,25.744,16.512,102.976,200,-,50ce845
hugereg,65536,256,2,9.968,15.776,25.744,16.320,102.976,200,THP(payload<2MB, no effect),50ce845
mgdwrite,65536,256,3,9.904,15.776,25.680,16.288,102.720,200,managed, preferred location = GPU,50ce845
device,65536,256,3,289.681,29.248,318.929,30.752,1275.716,200,-,50ce845
hostalloc,65536,256,3,12.400,16.448,28.848,17.504,115.392,200,-,50ce845
heapreg,65536,256,3,10.320,16.384,26.704,17.184,106.816,200,-,50ce845
shmreg,65536,256,3,9.920,15.776,25.696,16.384,102.784,200,-,50ce845
hugereg,65536,256,3,9.952,15.808,25.760,16.736,103.040,200,THP(payload<2MB, no effect),50ce845
mgdwrite,65536,256,4,9.888,15.808,25.696,16.192,102.784,200,managed, preferred location = GPU,50ce845
device,65536,256,4,256.225,29.664,285.889,30.752,1143.556,200,-,50ce845
hostalloc,65536,256,4,12.464,16.416,28.880,17.120,115.520,200,-,50ce845
heapreg,65536,256,4,10.288,16.224,26.512,16.928,106.048,200,-,50ce845
shmreg,65536,256,4,9.936,15.840,25.776,16.832,103.104,200,-,50ce845
hugereg,65536,256,4,9.984,15.808,25.792,17.024,103.168,200,THP(payload<2MB, no effect),50ce845
mgdwrite,65536,256,5,9.856,15.808,25.664,17.920,102.656,200,managed, preferred location = GPU,50ce845
device,65536,256,5,536.354,29.952,566.306,46.144,2265.224,200,-,50ce845
hostalloc,65536,256,5,12.496,16.480,28.976,31.296,115.904,200,-,50ce845
heapreg,65536,256,5,10.304,16.512,26.816,25.248,107.264,200,-,50ce845
shmreg,65536,256,5,9.840,15.840,25.680,17.984,102.720,200,-,50ce845
hugereg,65536,256,5,9.872,15.808,25.680,17.792,102.720,200,THP(payload<2MB, no effect),50ce845
mgdwrite,262144,1024,1,33.376,23.904,57.280,24.608,57.280,200,managed, preferred location = GPU,50ce845
device,262144,1024,1,142.272,18.016,160.288,33.952,160.288,200,-,50ce845
