Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
89.7,297260368,4,74315092.0,234456.0,1728,296789728,148316586.2,cudaMalloc
6.4,21268048,349,60940.0,12656.0,5056,340224,96658.2,cudaMemcpy
0.9,2980944,3,993648.0,39296.0,12704,2928944,1676068.2,cuMemcpyHtoD_v2
0.9,2855440,1398,2042.5,1712.0,1392,16096,1187.4,cudaEventRecord
0.7,2198576,699,3145.3,3104.0,528,12560,1163.0,cudaEventSynchronize
0.6,1854736,350,5299.2,2424.0,2048,31424,5707.8,cuLaunchKernel
0.4,1429792,2,714896.0,714896.0,570912,858880,203624.1,cuModuleLoadData
0.2,535328,4,133832.0,100832.0,20784,312880,141083.7,cudaFree
0.1,393088,1,393088.0,393088.0,393088,393088,0.0,cuMemAlloc_v2
0.1,249264,3,83088.0,192.0,96,248976,143663.2,cuMemFree_v2
0.1,186624,2,93312.0,93312.0,87248,99376,8575.8,cuModuleUnload
0.0,42992,2,21496.0,21496.0,19232,23760,3201.8,cuMemGetInfo_v2
0.0,12896,6,2149.3,952.0,256,7712,2867.5,cudaEventCreate
0.0,9584,6,1597.3,592.0,208,6752,2536.2,cudaEventDestroy
0.0,3616,1,3616.0,3616.0,3616,3616,0.0,cuModuleGetLoadingMode
0.0,2624,1,2624.0,2624.0,2624,2624,0.0,cuInit
0.0,640,2,320.0,320.0,272,368,67.9,cuCtxSetCurrent
