arm,size,rep,profiled,e2e_p50,fft_p50,n,sm_mhz,pace_us,gitsha
base,1048576,1,0,124.128,41.76,200,2457,25,d6ee60f
base,1048576,1,1,134.432,44.576,190,2463,25,d6ee60f
opt,1048576,1,0,72.624,66.208,200,2457,25,d6ee60f
opt,1048576,1,1,83.697,74.24,193,2444,25,d6ee60f
daq,1048576,1,0,67.024,62.144,250,2431,25,d6ee60f
daq,1048576,1,1,64.144,58.656,250,2444,25,d6ee60f
extbuf,1048576,1,0,76.496,66.144,200,2489,25,d6ee60f
extbuf,1048576,1,1,95.456,74.752,200,2489,25,d6ee60f
opt,1048576,2,0,73.04,66.336,200,2463,25,d6ee60f
opt,1048576,2,1,83.872,74.368,193,2457,25,d6ee60f
daq,1048576,2,0,70.992,66.048,250,2431,25,d6ee60f
daq,1048576,2,1,59.425,54.048,250,2431,25,d6ee60f
extbuf,1048576,2,0,83.712,72.768,200,2483,25,d6ee60f
extbuf,1048576,2,1,98.608,75.872,200,2483,25,d6ee60f
base,1048576,2,0,133.633,51.584,200,2457,25,d6ee60f
base,1048576,2,1,142.416,52.16,194,2502,25,d6ee60f
daq,1048576,3,0,70.784,65.92,250,2444,25,d6ee60f
daq,1048576,3,1,75.217,69.888,250,2502,25,d6ee60f
extbuf,1048576,3,0,79.280,66.016,200,2444,25,d6ee60f
extbuf,1048576,3,1,99.344,81.952,200,2522,25,d6ee60f
base,1048576,3,0,129.184,46.624,200,2463,25,d6ee60f
base,1048576,3,1,137.505,48.16,191,2457,25,d6ee60f
opt,1048576,3,0,78.624,72,200,2457,25,d6ee60f
opt,1048576,3,1,82.673,73.216,190,2457,25,d6ee60f
base,4096,1,0,15.328,7.808,28,2405,25,d6ee60f
base,4096,1,1,NA,NA,0,2405,25,d6ee60f
opt,4096,1,0,11.072,5.856,47,2405,25,d6ee60f
opt,4096,1,1,NA,NA,0,2411,25,d6ee60f
daq,4096,1,0,11.088,6.336,250,2405,25,d6ee60f
daq,4096,1,1,12.896,7.68,250,2424,25,d6ee60f
extbuf,4096,1,0,10.624,5.504,200,2418,25,d6ee60f
extbuf,4096,1,1,12.272,6.464,200,2424,25,d6ee60f
opt,4096,2,0,10.928,5.664,19,2405,25,d6ee60f
opt,4096,2,1,NA,NA,0,2405,25,d6ee60f
daq,4096,2,0,11.136,6.304,250,2405,25,d6ee60f
daq,4096,2,1,12.848,7.744,250,2528,25,d6ee60f
extbuf,4096,2,0,11.424,6.048,200,2528,25,d6ee60f
extbuf,4096,2,1,12.960,6.976,200,2411,25,d6ee60f
base,4096,2,0,15.728,7.936,34,2405,25,d6ee60f
base,4096,2,1,NA,NA,0,2405,25,d6ee60f
daq,4096,3,0,11.136,6.304,250,2405,25,d6ee60f
daq,4096,3,1,12.944,7.776,250,2528,25,d6ee60f
extbuf,4096,3,0,9.776,4.800,200,2528,25,d6ee60f
extbuf,4096,3,1,17.328,9.536,200,2418,25,d6ee60f
base,4096,3,0,15.648,8.096,38,2405,25,d6ee60f
base,4096,3,1,NA,NA,0,2411,25,d6ee60f
opt,4096,3,0,10.976,5.888,23,2405,25,d6ee60f
opt,4096,3,1,NA,NA,0,2405,25,d6ee60f
