arm,npts,kb,pace_us,rep,e2e_p50,fft_p50,n,sm_mhz
extbuf,4096,16,0,1,10.896,5.760,200,2431
daq,4096,16,0,1,9.584,4.832,400,2405
extbuf,4096,16,0,2,13.760,7.776,200,2457
daq,4096,16,0,2,9.328,4.672,400,2405
extbuf,4096,16,25,1,10.672,5.536,200,2418
daq,4096,16,25,1,9.312,4.672,400,2405
extbuf,4096,16,25,2,10.736,5.696,200,2418
daq,4096,16,25,2,9.312,4.608,400,2405
extbuf,4096,16,100,1,11.072,5.952,200,2548
daq,4096,16,100,1,9.376,4.672,400,2411
extbuf,4096,16,100,2,12.112,6.720,200,2444
daq,4096,16,100,2,9.488,4.768,400,2405
extbuf,4096,16,400,1,41.056,20.704,200,2463
daq,4096,16,400,1,9.84,4.928,400,2405
extbuf,4096,16,400,2,32.336,16.736,200,2457
daq,4096,16,400,2,9.808,4.896,400,2424
