arm,size,kb,rep,write_p50,fft_p50,total_p50,fft_p90,us_per_mb,n,note,gitsha
hostalloc,1048576,4096,1,57.152,53.568,110.720,55.808,27.680,200,-,b8c0b96
heapreg,1048576,4096,1,119.792,63.072,182.864,66.848,45.716,200,-,b8c0b96
shmreg,1048576,4096,1,117.664,64.224,181.888,68.800,45.472,200,-,b8c0b96
hugereg,1048576,4096,1,115.408,66.912,182.320,70.816,45.580,200,THP,b8c0b96
hostalloc,1048576,4096,2,56.897,53.280,110.177,55.872,27.544,200,-,b8c0b96
heapreg,1048576,4096,2,120.576,62.400,182.976,65.536,45.744,200,-,b8c0b96
shmreg,1048576,4096,2,117.905,63.968,181.873,66.784,45.468,200,-,b8c0b96
hugereg,1048576,4096,2,116.080,66.688,182.768,70.912,45.692,200,THP,b8c0b96
hostalloc,1048576,4096,3,56.528,52.896,109.424,55.712,27.356,200,-,b8c0b96
heapreg,1048576,4096,3,117.872,63.424,181.296,68.672,45.324,200,-,b8c0b96
shmreg,1048576,4096,3,117.440,64.192,181.632,70.080,45.408,200,-,b8c0b96
hugereg,1048576,4096,3,114.528,67.136,181.664,72.320,45.416,200,THP,b8c0b96
hostalloc,1048576,4096,4,56.768,53.248,110.016,55.744,27.504,200,-,b8c0b96
heapreg,1048576,4096,4,118.560,63.136,181.696,66.528,45.424,200,-,b8c0b96
shmreg,1048576,4096,4,117.296,64.032,181.328,67.136,45.332,200,-,b8c0b96
hugereg,1048576,4096,4,113.744,67.072,180.816,69.504,45.204,200,THP,b8c0b96
hostalloc,1048576,4096,5,56.768,53.408,110.176,55.840,27.544,200,-,b8c0b96
heapreg,1048576,4096,5,118.385,63.488,181.873,66.912,45.468,200,-,b8c0b96
shmreg,1048576,4096,5,117.025,64.352,181.377,67.488,45.344,200,-,b8c0b96
hugereg,1048576,4096,5,114.080,66.880,180.960,70.592,45.240,200,THP,b8c0b96
hostalloc,1048576,4096,6,56.224,52.256,108.480,54.912,27.120,200,-,b8c0b96
heapreg,1048576,4096,6,117.344,63.808,181.152,68.864,45.288,200,-,b8c0b96
shmreg,1048576,4096,6,116.816,64.608,181.424,69.760,45.356,200,-,b8c0b96
hugereg,1048576,4096,6,112.912,67.136,180.048,71.008,45.012,200,THP,b8c0b96
hostalloc,1048576,4096,7,56.528,53.216,109.744,55.360,27.436,200,-,b8c0b96
heapreg,1048576,4096,7,119.632,62.976,182.608,67.040,45.652,200,-,b8c0b96
shmreg,1048576,4096,7,117.840,63.840,181.680,68.864,45.420,200,-,b8c0b96
hugereg,1048576,4096,7,113.664,67.232,180.896,71.776,45.224,200,THP,b8c0b96
hostalloc,1048576,4096,8,56.352,52.992,109.344,55.520,27.336,200,-,b8c0b96
heapreg,1048576,4096,8,118.656,62.784,181.440,66.112,45.360,200,-,b8c0b96
shmreg,1048576,4096,8,117.040,64.448,181.488,67.648,45.372,200,-,b8c0b96
hugereg,1048576,4096,8,116.320,66.560,182.880,70.784,45.720,200,THP,b8c0b96
hostalloc,1048576,4096,9,56.928,53.248,110.176,55.456,27.544,200,-,b8c0b96
heapreg,1048576,4096,9,119.873,62.400,182.273,66.112,45.568,200,-,b8c0b96
shmreg,1048576,4096,9,117.488,64.224,181.712,68.416,45.428,200,-,b8c0b96
hugereg,1048576,4096,9,113.841,67.040,180.881,69.984,45.220,200,THP,b8c0b96
hostalloc,1048576,4096,10,56.145,52.128,108.273,54.464,27.068,200,-,b8c0b96
heapreg,1048576,4096,10,117.777,63.456,181.233,68.064,45.308,200,-,b8c0b96
shmreg,1048576,4096,10,116.560,64.512,181.072,67.968,45.268,200,-,b8c0b96
hugereg,1048576,4096,10,114.273,66.976,181.249,70.880,45.312,200,THP,b8c0b96
hostalloc,1048576,4096,11,57.057,52.768,109.825,55.680,27.456,200,-,b8c0b96
heapreg,1048576,4096,11,119.872,62.880,182.752,66.016,45.688,200,-,b8c0b96
shmreg,1048576,4096,11,118.016,63.712,181.728,67.200,45.432,200,-,b8c0b96
hugereg,1048576,4096,11,116.288,66.272,182.560,70.336,45.640,200,THP,b8c0b96
hostalloc,1048576,4096,12,56.496,53.280,109.776,55.520,27.444,200,-,b8c0b96
heapreg,1048576,4096,12,118.336,63.328,181.664,68.256,45.416,200,-,b8c0b96
shmreg,1048576,4096,12,117.889,63.552,181.441,67.776,45.360,200,-,b8c0b96
hugereg,1048576,4096,12,116.032,66.752,182.784,71.712,45.696,200,THP,b8c0b96
hostalloc,1048576,4096,13,56.848,52.832,109.680,54.720,27.420,200,-,b8c0b96
heapreg,1048576,4096,13,117.904,63.552,181.456,67.904,45.364,200,-,b8c0b96
shmreg,1048576,4096,13,117.281,64.224,181.505,67.552,45.376,200,-,b8c0b96
hugereg,1048576,4096,13,114.960,66.688,181.648,70.368,45.412,200,THP,b8c0b96
hostalloc,1048576,4096,14,56.752,53.184,109.936,55.680,27.484,200,-,b8c0b96
heapreg,1048576,4096,14,119.793,62.624,182.417,67.744,45.604,200,-,b8c0b96
shmreg,1048576,4096,14,118.016,63.712,181.728,69.728,45.432,200,-,b8c0b96
hugereg,1048576,4096,14,113.200,67.328,180.528,70.848,45.132,200,THP,b8c0b96
hostalloc,1048576,4096,15,56.592,53.440,110.032,55.680,27.508,200,-,b8c0b96
heapreg,1048576,4096,15,120.161,62.560,182.721,66.720,45.680,200,-,b8c0b96
shmreg,1048576,4096,15,117.569,64.000,181.569,69.024,45.392,200,-,b8c0b96
hugereg,1048576,4096,15,115.168,66.880,182.048,70.720,45.512,200,THP,b8c0b96
