arm,size,kb,rep,write_p50,fft_p50,total_p50,fft_p90,us_per_mb,n,note,gitsha
hostalloc,1048576,4096,1,54.368,56.640,111.008,58.208,27.752,200,-,b8c0b96
heapreg,1048576,4096,1,106.977,64.096,171.073,66.112,42.768,200,-,b8c0b96
shmreg,1048576,4096,1,102.592,63.360,165.952,66.816,41.488,200,-,b8c0b96
hugereg,1048576,4096,1,111.088,65.440,176.528,70.048,44.132,200,THP,b8c0b96
hostalloc,1048576,4096,2,53.712,56.352,110.064,57.792,27.516,200,-,b8c0b96
heapreg,1048576,4096,2,107.040,63.840,170.880,66.048,42.720,200,-,b8c0b96
shmreg,1048576,4096,2,100.849,63.360,164.209,67.008,41.052,200,-,b8c0b96
hugereg,1048576,4096,2,110.352,65.440,175.792,68.064,43.948,200,THP,b8c0b96
hostalloc,1048576,4096,3,53.600,56.384,109.984,57.664,27.496,200,-,b8c0b96
heapreg,1048576,4096,3,106.112,64.000,170.112,66.112,42.528,200,-,b8c0b96
shmreg,1048576,4096,3,99.808,63.712,163.520,67.168,40.880,200,-,b8c0b96
hugereg,1048576,4096,3,111.056,65.120,176.176,67.680,44.044,200,THP,b8c0b96
hostalloc,1048576,4096,4,53.472,56.256,109.728,57.696,27.432,200,-,b8c0b96
heapreg,1048576,4096,4,105.969,63.712,169.681,66.240,42.420,200,-,b8c0b96
shmreg,1048576,4096,4,100.768,63.584,164.352,66.784,41.088,200,-,b8c0b96
hugereg,1048576,4096,4,109.920,65.536,175.456,67.840,43.864,200,THP,b8c0b96
hostalloc,1048576,4096,5,53.632,56.352,109.984,57.728,27.496,200,-,b8c0b96
heapreg,1048576,4096,5,106.128,63.872,170.000,65.600,42.500,200,-,b8c0b96
shmreg,1048576,4096,5,100.960,63.520,164.480,67.520,41.120,200,-,b8c0b96
hugereg,1048576,4096,5,111.184,64.928,176.112,68.256,44.028,200,THP,b8c0b96
hostalloc,1048576,4096,6,53.760,56.384,110.144,57.696,27.536,200,-,b8c0b96
heapreg,1048576,4096,6,106.448,63.776,170.224,66.400,42.556,200,-,b8c0b96
shmreg,1048576,4096,6,101.057,63.552,164.609,66.848,41.152,200,-,b8c0b96
hugereg,1048576,4096,6,109.953,65.632,175.585,68.192,43.896,200,THP,b8c0b96
hostalloc,1048576,4096,7,53.472,56.512,109.984,57.600,27.496,200,-,b8c0b96
heapreg,1048576,4096,7,106.176,64.096,170.272,66.784,42.568,200,-,b8c0b96
shmreg,1048576,4096,7,102.144,63.392,165.536,66.912,41.384,200,-,b8c0b96
hugereg,1048576,4096,7,110.497,65.344,175.841,67.712,43.960,200,THP,b8c0b96
hostalloc,1048576,4096,8,53.488,56.352,109.840,57.504,27.460,200,-,b8c0b96
heapreg,1048576,4096,8,106.080,63.904,169.984,66.912,42.496,200,-,b8c0b96
shmreg,1048576,4096,8,101.648,63.520,165.168,66.080,41.292,200,-,b8c0b96
hugereg,1048576,4096,8,109.905,65.568,175.473,68.064,43.868,200,THP,b8c0b96
hostalloc,1048576,4096,9,53.520,56.448,109.968,57.632,27.492,200,-,b8c0b96
heapreg,1048576,4096,9,105.984,64.096,170.080,66.304,42.520,200,-,b8c0b96
shmreg,1048576,4096,9,99.568,63.808,163.376,67.872,40.844,200,-,b8c0b96
hugereg,1048576,4096,9,110.832,65.344,176.176,67.904,44.044,200,THP,b8c0b96
hostalloc,1048576,4096,10,53.280,56.320,109.600,57.792,27.400,200,-,b8c0b96
heapreg,1048576,4096,10,105.856,64.192,170.048,66.656,42.512,200,-,b8c0b96
shmreg,1048576,4096,10,99.920,63.808,163.728,66.848,40.932,200,-,b8c0b96
hugereg,1048576,4096,10,110.433,65.472,175.905,67.904,43.976,200,THP,b8c0b96
hostalloc,1048576,4096,11,53.568,56.480,110.048,57.696,27.512,200,-,b8c0b96
heapreg,1048576,4096,11,106.608,63.808,170.416,66.368,42.604,200,-,b8c0b96
shmreg,1048576,4096,11,100.688,63.648,164.336,67.712,41.084,200,-,b8c0b96
hugereg,1048576,4096,11,112.336,64.768,177.104,68.032,44.276,200,THP,b8c0b96
hostalloc,1048576,4096,12,53.328,56.416,109.744,57.696,27.436,200,-,b8c0b96
heapreg,1048576,4096,12,105.904,64.064,169.968,66.528,42.492,200,-,b8c0b96
shmreg,1048576,4096,12,99.312,63.968,163.280,67.328,40.820,200,-,b8c0b96
hugereg,1048576,4096,12,109.840,65.664,175.504,68.064,43.876,200,THP,b8c0b96
hostalloc,1048576,4096,13,53.392,56.256,109.648,57.408,27.412,200,-,b8c0b96
heapreg,1048576,4096,13,105.968,64.128,170.096,66.304,42.524,200,-,b8c0b96
shmreg,1048576,4096,13,100.032,63.552,163.584,67.072,40.896,200,-,b8c0b96
hugereg,1048576,4096,13,108.848,66.048,174.896,68.384,43.724,200,THP,b8c0b96
hostalloc,1048576,4096,14,53.424,56.320,109.744,57.792,27.436,200,-,b8c0b96
heapreg,1048576,4096,14,105.760,63.968,169.728,66.720,42.432,200,-,b8c0b96
shmreg,1048576,4096,14,100.384,63.488,163.872,66.496,40.968,200,-,b8c0b96
hugereg,1048576,4096,14,109.632,65.728,175.360,67.968,43.840,200,THP,b8c0b96
hostalloc,1048576,4096,15,53.376,56.288,109.664,57.440,27.416,200,-,b8c0b96
heapreg,1048576,4096,15,105.920,64.160,170.080,66.368,42.520,200,-,b8c0b96
shmreg,1048576,4096,15,100.785,63.648,164.433,66.336,41.108,200,-,b8c0b96
hugereg,1048576,4096,15,109.265,65.792,175.057,67.744,43.764,200,THP,b8c0b96
