arm,size,rep,pos,fill_p50,transport_p05,transport_p50,transport_p95,e2e_p50,fft_p50,n,sm_mhz,pace_us,gitsha
opt,4096,1,1,0.704,5.984,29.729,58.736,11.216,5.920,796,2405,25,b3d5807+ts
extbuf,4096,1,2,0.03,19.152,648.290,1682.647,10.720,5.664,1000,2476,25,b3d5807+ts
daq,4096,1,3,0.416,1619.750,4514.790,8325.360,9.264,4.576,1000,2411,25,b3d5807+ts
opt,16384,1,1,2.288,15.376,40.560,67.680,15.360,10.208,825,2463,25,b3d5807+ts
extbuf,16384,1,2,0.03,28.496,179.792,1479.654,17.520,11.232,1000,2457,25,b3d5807+ts
daq,16384,1,3,1.696,1879.260,5034.800,9236.580,13.248,8.544,1000,2424,25,b3d5807+ts
opt,65536,1,1,7.008,103.233,106.992,152.417,23.200,17.632,927,2424,25,b3d5807+ts
extbuf,65536,1,2,0.06,353.618,713.955,2663.339,20.656,15.552,1000,2476,25,b3d5807+ts
daq,65536,1,3,5.872,2687.210,7181.640,11916.800,18.208,13.504,1000,2444,25,b3d5807+ts
opt,262144,1,1,28.768,474.594,504.034,542.307,32.336,26.624,981,2548,25,b3d5807+ts
extbuf,262144,1,2,0.16,614.290,888.420,5347.429,27.328,21.920,1000,2509,25,b3d5807+ts
daq,262144,1,3,26.049,16727.300,20021.400,24817.500,25.056,20.384,1000,2463,25,b3d5807+ts
opt,1048576,1,1,133.664,2104.740,2231.850,2744.330,68.897,62.336,999,2463,25,b3d5807+ts
extbuf,1048576,1,2,0.27,2455.514,2952.540,3397.373,83.216,70.304,1000,2548,25,b3d5807+ts
daq,1048576,1,3,100.705,82543.700,86278.900,89837.300,69.697,64.864,1000,2489,25,b3d5807+ts
extbuf,4096,2,1,0.03,16.337,207.329,869.715,10.896,5.792,1000,2405,25,b3d5807+ts
daq,4096,2,2,0.400,1581.720,4660.210,9331.010,9.408,4.704,1000,2424,25,b3d5807+ts
opt,4096,2,3,0.704,5.824,30.624,58.528,11.200,5.952,813,2405,25,b3d5807+ts
extbuf,16384,2,1,0.05,30.592,548.594,1800.086,14.512,9.504,1000,2457,25,b3d5807+ts
daq,16384,2,2,1.728,2301.140,6249.110,10374.500,13.488,8.672,1000,2411,25,b3d5807+ts
opt,16384,2,3,2.224,15.281,40.176,67.952,15.697,10.432,826,2405,25,b3d5807+ts
extbuf,65536,2,1,0.10,63.714,480.364,2803.089,20.176,14.976,1000,2450,25,b3d5807+ts
daq,65536,2,2,5.776,2306.210,5300.000,10620.000,18.257,13.504,1000,2405,25,b3d5807+ts
opt,65536,2,3,7.408,110.066,119.779,165.652,22.945,17.472,920,2431,25,b3d5807+ts
extbuf,262144,2,1,0.13,426.265,708.592,965.653,29.889,23.488,1000,2496,25,b3d5807+ts
daq,262144,2,2,25.969,16794.700,20122.200,23683.000,25.024,20.352,1000,2463,25,b3d5807+ts
opt,262144,2,3,28.561,479.339,503.115,539.020,32.545,26.752,980,2548,25,b3d5807+ts
extbuf,1048576,2,1,0.34,2361.411,3067.251,3544.685,82.242,70.816,1000,2548,25,b3d5807+ts
daq,1048576,2,2,98.818,82825.800,86393.000,89510.000,69.137,64.288,1000,2489,25,b3d5807+ts
opt,1048576,2,3,118.45,2188.820,2671.580,2808.220,72.417,65.568,1000,2457,25,b3d5807+ts
daq,4096,3,1,0.432,1635.810,4982.520,9960.860,9.360,4.704,1000,2418,25,b3d5807+ts
opt,4096,3,2,0.704,5.888,30.529,58.929,11.312,6.016,802,2463,25,b3d5807+ts
extbuf,4096,3,3,0.03,59.137,686.734,2029.753,10.801,5.728,1000,2496,25,b3d5807+ts
daq,16384,3,1,1.728,2036.140,5049.860,9345.680,13.344,8.576,1000,2431,25,b3d5807+ts
opt,16384,3,2,2.304,15.184,39.809,67.265,15.632,10.400,789,2405,25,b3d5807+ts
extbuf,16384,3,3,0.03,193.668,592.780,1205.096,14.816,9.728,1000,2411,25,b3d5807+ts
daq,65536,3,1,5.728,2530.070,6419.760,16579.800,18.368,13.632,1000,2418,25,b3d5807+ts
opt,65536,3,2,7.28,108.274,110.562,156.579,23.441,17.920,925,2450,25,b3d5807+ts
extbuf,65536,3,3,0.08,61.473,215.108,2416.495,20.112,14.976,1000,2476,25,b3d5807+ts
daq,262144,3,1,26.032,17256.000,20274.900,23110.300,24.993,20.288,1000,2476,25,b3d5807+ts
opt,262144,3,2,28.609,470.825,497.273,534.266,32.433,26.688,980,2548,25,b3d5807+ts
extbuf,262144,3,3,0.10,670.540,1250.600,8323.516,31.185,24.032,1000,2515,25,b3d5807+ts
daq,1048576,3,1,100.082,82745.200,86163.200,89815.400,66.065,61.248,1000,2489,25,b3d5807+ts
opt,1048576,3,2,121.858,2169.300,2482.560,2789.990,73.793,67.008,1000,2457,25,b3d5807+ts
extbuf,1048576,3,3,0.30,2375.595,3049.815,3591.857,79.778,68.800,1000,2535,25,b3d5807+ts
opt,4096,4,1,0.704,5.664,29.057,58.241,11.121,5.952,804,2411,25,b3d5807+ts
extbuf,4096,4,2,0.03,56.273,669.292,2806.450,10.880,5.792,1000,2405,25,b3d5807+ts
daq,4096,4,3,0.416,1840.940,5232.880,10158.000,9.376,4.640,1000,2424,25,b3d5807+ts
opt,16384,4,1,2.32,15.217,40.977,68.577,15.456,10.304,821,2405,25,b3d5807+ts
extbuf,16384,4,2,0.03,105.073,403.447,759.773,17.040,11.072,1000,2457,25,b3d5807+ts
daq,16384,4,3,1.712,2163.760,6167.940,10081.400,13.472,8.672,1000,2411,25,b3d5807+ts
