arm,size,rep,pos,fill_p50,transport_p05,transport_p50,transport_p95,e2e_p50,fft_p50,n,sm_mhz,pace_us,gitsha
opt,4096,1,1,0.704,5.984,24.945,57.473,11.744,6.400,976,2548,500,b3d5807+ts
extbuf,4096,1,2,0.02,38.289,188.050,459.813,10.273,5.120,1000,2548,500,b3d5807+ts
daq,4096,1,3,0.464,619.159,3967.810,7873.660,9.776,4.896,1000,2424,500,b3d5807+ts
opt,16384,1,1,2.256,15.537,35.217,66.945,16.944,11.392,977,2548,500,b3d5807+ts
extbuf,16384,1,2,0.03,135.201,308.323,654.967,43.169,24.416,1000,2548,500,b3d5807+ts
daq,16384,1,3,1.760,662.664,4002.840,8002.360,13.776,8.832,1000,2424,500,b3d5807+ts
opt,65536,1,1,7.28,109.377,133.778,164.066,23.473,17.888,981,2548,500,b3d5807+ts
extbuf,65536,1,2,0.05,182.770,350.260,838.394,44.896,28.128,1000,2548,500,b3d5807+ts
daq,65536,1,3,5.696,767.881,4200.490,8451.090,18.160,13.408,1000,2431,500,b3d5807+ts
opt,262144,1,1,24.016,476.501,503.814,537.014,31.905,25.952,997,2483,1344,b3d5807+ts
extbuf,262144,1,2,0.03,467.333,915.162,4604.866,51.632,34.496,1000,2509,1344,b3d5807+ts
daq,262144,1,3,25.936,902.922,4338.340,9030.700,24.976,20.192,1000,2437,1344,b3d5807+ts
opt,1048576,1,1,204.738,2153.720,2276.180,2811.840,76.257,69.024,1000,2424,5377,b3d5807+ts
extbuf,1048576,1,2,0.86,1091.132,2185.895,6543.492,101.058,76.448,1000,2431,5377,b3d5807+ts
daq,1048576,1,3,105.585,934.890,4985.810,12160.900,63.329,58.368,1000,2424,5377,b3d5807+ts
extbuf,4096,2,1,0.03,59.425,305.619,653.911,26.880,13.984,1000,2548,500,b3d5807+ts
daq,4096,2,2,0.416,541.717,4023.300,8336.120,9.792,4.896,1000,2424,500,b3d5807+ts
opt,4096,2,3,0.704,6.160,25.600,57.824,12.448,7.072,979,2548,500,b3d5807+ts
extbuf,16384,2,1,0.03,119.249,280.627,483.061,44.080,24.576,1000,2548,500,b3d5807+ts
daq,16384,2,2,1.760,675.655,4212.550,9034.650,13.792,8.864,1000,2424,500,b3d5807+ts
opt,16384,2,3,2.288,15.328,35.521,66.065,17.009,11.456,981,2548,500,b3d5807+ts
extbuf,65536,2,1,0.03,249.682,538.709,1000.266,47.905,29.216,1000,2541,500,b3d5807+ts
daq,65536,2,2,5.872,811.880,4232.600,9684.980,18.160,13.408,1000,2424,500,b3d5807+ts
