arm,npts,bytes,rep,e2e_p50,e2e_p99,fft_p50,resid,n,verified,delivered,attempted,send_p50,blocked_us,sm_mhz,result,gitsha
rdma,1048576,4194304,1,72.769,137.472,65.216,7.55,999,999,6828,6828,2251.73,2203310.8,2541,OK,5d5921c
rdma-stock-nopoll,1048576,4194304,1,71.904,120.833,64.416,7.49,999,999,6828,6828,2021.21,2081256.9,2541,OK,5d5921c
base,1048576,4194304,1,659.633,850.578,361.12,298.51,1110,NA,11111,11111,NA,NA,2424,OK,5d5921c
rdma-stock-nopoll,1048576,4194304,2,69.792,110.096,62.528,7.26,999,999,6828,6828,1903.69,2031130.2,2522,OK,5d5921c
base,1048576,4194304,2,661.777,861.778,364.032,297.75,1110,NA,11111,11111,NA,NA,2418,OK,5d5921c
rdma,1048576,4194304,2,74.864,106.480,67.200,7.66,999,999,6828,6828,2134.27,2251063.3,2522,OK,5d5921c
base,1048576,4194304,3,662.769,868.754,363.36,299.41,1110,NA,11111,11111,NA,NA,2418,OK,5d5921c
rdma,1048576,4194304,3,67.537,112.640,59.712,7.83,999,999,6828,6828,2243.22,2275000.6,2522,OK,5d5921c
rdma-stock-nopoll,1048576,4194304,3,70.896,109.776,63.488,7.41,999,999,6828,6828,1910.11,1979691.1,2528,OK,5d5921c
rdma,1048576,4194304,4,76.352,112.289,69.152,7.20,999,999,6828,6828,2246.35,2217543.6,2528,OK,5d5921c
rdma-stock-nopoll,1048576,4194304,4,73.824,114.705,66.496,7.33,999,999,6828,6828,2094.59,2119632.9,2522,OK,5d5921c
base,1048576,4194304,4,664.033,836.145,364.416,299.62,1110,NA,11111,11111,NA,NA,2418,OK,5d5921c
rdma-stock-nopoll,1048576,4194304,5,76.320,125.888,69.056,7.26,999,999,6828,6828,2278.61,2278610.2,2528,OK,5d5921c
base,1048576,4194304,5,661.713,857.009,362.432,299.28,1110,NA,11111,11111,NA,NA,2418,OK,5d5921c
rdma,1048576,4194304,5,74.496,118.608,67.136,7.36,999,999,6828,6828,2090.21,2123078.2,2515,OK,5d5921c
