arm,size,kb,rep,e2e_p50,e2e_p99,fft_p50,resid,n,result,gitsha
exact,4096,16,1,11.936,18.736,6.464,5.47,172,OK,efe712d
bigreg,4096,16,1,11.936,18.656,6.528,5.41,172,OK,efe712d
daq,4096,16,1,11.456,14.96,6.464,4.99,250,OK,efe712d
exact,4096,16,2,12.8,18.08,7.232,5.57,172,OK,efe712d
bigreg,4096,16,2,12.976,20.592,7.456,5.52,172,OK,efe712d
daq,4096,16,2,11.664,14.064,6.56,5.10,250,OK,efe712d
exact,4096,16,3,12.976,17.76,7.424,5.55,172,OK,efe712d
bigreg,4096,16,3,12.144,17.472,6.624,5.52,172,OK,efe712d
daq,4096,16,3,11.696,15.056,6.624,5.07,250,OK,efe712d
exact,65536,256,1,24.64,47.808,19.04,5.60,176,OK,efe712d
bigreg,65536,256,1,24.369,29.137,18.784,5.59,177,OK,efe712d
daq,65536,256,1,20.752,47.056,15.744,5.01,250,OK,efe712d
exact,65536,256,2,24.72,29.76,18.976,5.74,177,OK,efe712d
bigreg,65536,256,2,23.696,38.496,18.144,5.55,177,OK,efe712d
daq,65536,256,2,20.784,34.864,15.776,5.01,250,OK,efe712d
exact,65536,256,3,24.064,31.664,18.624,5.44,179,OK,efe712d
bigreg,65536,256,3,24.432,28.528,18.784,5.65,178,OK,efe712d
daq,65536,256,3,21.136,24.704,16.384,4.75,250,OK,efe712d
exact,262144,1024,1,33.248,37.568,27.488,5.76,190,OK,efe712d
bigreg,262144,1024,1,33.777,39.28,27.936,5.84,189,OK,efe712d
daq,262144,1024,1,28.32,30.672,23.36,4.96,250,OK,efe712d
exact,262144,1024,2,33.153,37.792,27.392,5.76,191,OK,efe712d
bigreg,262144,1024,2,32.928,37.152,27.104,5.82,191,OK,efe712d
daq,262144,1024,2,28.304,34.688,23.36,4.94,250,OK,efe712d
exact,262144,1024,3,32.145,37.2,26.4,5.75,190,OK,efe712d
bigreg,262144,1024,3,33.376,42.304,27.584,5.79,190,OK,efe712d
daq,262144,1024,3,28.304,30.48,23.488,4.82,250,OK,efe712d
exact,524288,2048,1,42.224,52.944,36.192,6.03,196,OK,efe712d
bigreg,524288,2048,1,42.032,48.656,35.84,6.19,197,OK,efe712d
daq,524288,2048,1,38.4,41.36,33.472,4.93,250,OK,efe712d
exact,524288,2048,2,43.76,51.072,37.664,6.10,196,OK,efe712d
bigreg,524288,2048,2,42.688,48.32,36.736,5.95,196,OK,efe712d
daq,524288,2048,2,36.928,54.72,32.064,4.86,250,OK,efe712d
exact,524288,2048,3,42.944,48.944,36.8,6.14,197,OK,efe712d
bigreg,524288,2048,3,42.592,47.936,36.448,6.14,196,OK,efe712d
daq,524288,2048,3,38.256,41.92,33.248,5.01,250,OK,efe712d
exact,1048576,4096,1,73.072,81.872,66.304,6.77,200,OK,efe712d
bigreg,1048576,4096,1,71.696,80.512,64.992,6.70,200,OK,efe712d
daq,1048576,4096,1,59.36,78.192,54.4,4.96,250,OK,efe712d
exact,1048576,4096,2,75.408,82.081,68.64,6.77,200,OK,efe712d
bigreg,1048576,4096,2,70.832,80.768,64.096,6.74,200,OK,efe712d
daq,1048576,4096,2,68.256,79.056,63.232,5.02,250,OK,efe712d
exact,1048576,4096,3,70.224,79.36,63.744,6.48,200,OK,efe712d
bigreg,1048576,4096,3,72.673,78.928,65.792,6.88,200,OK,efe712d
daq,1048576,4096,3,63.36,78.32,58.368,4.99,250,OK,efe712d
