arm,size,rep,pos,e2e_p50,fft_p50,n,sm_mhz,gitsha
daqpre,1048576,1,1,75.473,70.720,1000,2489,035d8e8+pre
daqoff,1048576,1,2,63.153,58.368,1000,2489,035d8e8+pre
daqon,1048576,1,3,64.688,59.776,1000,2489,035d8e8+pre
opt,1048576,1,4,71.057,64.352,1000,2457,035d8e8+pre
daqoff,1048576,2,1,72.337,67.552,1000,2489,035d8e8+pre
daqon,1048576,2,2,70.081,65.152,1000,2489,035d8e8+pre
opt,1048576,2,3,70.193,63.648,1000,2463,035d8e8+pre
daqpre,1048576,2,4,63.329,58.464,1000,2489,035d8e8+pre
daqon,1048576,3,1,66.208,61.312,1000,2489,035d8e8+pre
opt,1048576,3,2,79.296,72.608,1000,2463,035d8e8+pre
daqpre,1048576,3,3,70.401,65.568,1000,2489,035d8e8+pre
daqoff,1048576,3,4,62.081,57.248,1000,2489,035d8e8+pre
opt,1048576,4,1,74.608,68.000,1000,2463,035d8e8+pre
daqpre,1048576,4,2,73.233,68.416,1000,2489,035d8e8+pre
daqoff,1048576,4,3,73.360,68.544,1000,2489,035d8e8+pre
daqon,1048576,4,4,71.328,66.368,1000,2489,035d8e8+pre
daqpre,1048576,5,1,73.009,68.192,1000,2489,035d8e8+pre
daqoff,1048576,5,2,68.273,63.424,1000,2489,035d8e8+pre
daqon,1048576,5,3,75.905,70.976,1000,2489,035d8e8+pre
opt,1048576,5,4,76.896,70.272,1000,2457,035d8e8+pre
daqoff,1048576,6,1,65.440,60.672,1000,2489,035d8e8+pre
daqon,1048576,6,2,69.665,64.768,1000,2489,035d8e8+pre
opt,1048576,6,3,71.872,65.216,1000,2463,035d8e8+pre
daqpre,1048576,6,4,57.777,52.960,1000,2489,035d8e8+pre
daqon,1048576,7,1,60.944,56.096,1000,2489,035d8e8+pre
opt,1048576,7,2,69.520,62.784,1000,2457,035d8e8+pre
daqpre,1048576,7,3,61.921,57.088,1000,2489,035d8e8+pre
daqoff,1048576,7,4,64.528,59.712,1000,2489,035d8e8+pre
opt,1048576,8,1,68.609,61.920,1000,2463,035d8e8+pre
daqpre,1048576,8,2,65.680,60.768,1000,2489,035d8e8+pre
daqoff,1048576,8,3,62.801,57.952,1000,2489,035d8e8+pre
daqon,1048576,8,4,68.048,63.104,1000,2489,035d8e8+pre
daqpre,1048576,9,1,63.296,58.464,1000,2489,035d8e8+pre
daqoff,1048576,9,2,61.697,56.896,1000,2489,035d8e8+pre
daqon,1048576,9,3,61.825,56.896,1000,2489,035d8e8+pre
opt,1048576,9,4,71.392,64.672,1000,2457,035d8e8+pre
daqoff,1048576,10,1,61.344,56.576,1000,2483,035d8e8+pre
daqon,1048576,10,2,61.200,56.256,1000,2483,035d8e8+pre
opt,1048576,10,3,73.360,66.720,1000,2457,035d8e8+pre
daqpre,1048576,10,4,63.473,58.720,1000,2489,035d8e8+pre
daqon,1048576,11,1,61.921,56.992,1000,2483,035d8e8+pre
opt,1048576,11,2,70.640,64.032,1000,2457,035d8e8+pre
daqpre,1048576,11,3,64.752,59.936,1000,2489,035d8e8+pre
daqoff,1048576,11,4,71.104,66.272,1000,2489,035d8e8+pre
opt,1048576,12,1,69.712,62.944,1000,2463,035d8e8+pre
daqpre,1048576,12,2,73.248,68.384,1000,2489,035d8e8+pre
daqoff,1048576,12,3,70.176,65.344,1000,2489,035d8e8+pre
daqon,1048576,12,4,62.976,58.080,1000,2489,035d8e8+pre
