arm,size,kb,rep,e2e_p50,e2e_p99,fft_p50,resid,n,result,gitsha
optspin,4096,16,1,12.24,20.688,6.624,5.62,171,OK,50ce845
optblock,4096,16,1,13.296,18.624,7.648,5.65,172,OK,50ce845
daq,4096,16,1,11.728,14.528,6.624,5.10,250,OK,50ce845
optspin,4096,16,2,12.128,16.64,6.624,5.50,170,OK,50ce845
optblock,4096,16,2,13.136,20.544,7.392,5.74,172,OK,50ce845
daq,4096,16,2,11.552,15.248,6.528,5.02,250,OK,50ce845
optspin,4096,16,3,12.24,17.648,6.688,5.55,170,OK,50ce845
optblock,4096,16,3,12.096,17.632,6.56,5.54,172,OK,50ce845
daq,4096,16,3,11.696,15.12,6.624,5.07,250,OK,50ce845
optspin,16384,64,1,17.36,21.584,11.648,5.71,174,OK,50ce845
optblock,16384,64,1,17.552,24.944,11.744,5.81,173,OK,50ce845
daq,16384,64,1,15.648,19.296,10.56,5.09,250,OK,50ce845
optspin,16384,64,2,17.36,24.16,11.584,5.78,172,OK,50ce845
optblock,16384,64,2,17.696,23.936,11.84,5.86,174,OK,50ce845
daq,16384,64,2,15.808,18.832,10.688,5.12,250,OK,50ce845
optspin,16384,64,3,17.472,23.584,11.808,5.66,173,OK,50ce845
optblock,16384,64,3,17.776,45.2,11.968,5.81,171,OK,50ce845
daq,16384,64,3,15.728,18.32,10.72,5.01,250,OK,50ce845
optspin,65536,256,1,24.512,33.952,18.944,5.57,180,OK,50ce845
optblock,65536,256,1,24.705,31.328,18.976,5.73,179,OK,50ce845
daq,65536,256,1,20.8,24.368,15.936,4.86,250,OK,50ce845
optspin,65536,256,2,24.352,32.56,18.848,5.50,177,OK,50ce845
optblock,65536,256,2,24.673,29.728,18.848,5.82,178,OK,50ce845
daq,65536,256,2,20.832,24.72,15.872,4.96,250,OK,50ce845
optspin,65536,256,3,24.288,31.072,18.784,5.50,178,OK,50ce845
optblock,65536,256,3,24.752,31.584,18.944,5.81,180,OK,50ce845
daq,65536,256,3,20.528,24.176,15.68,4.85,250,OK,50ce845
optspin,262144,1024,1,33.12,38.56,27.424,5.70,190,OK,50ce845
optblock,262144,1024,1,33.377,38.496,27.424,5.95,190,OK,50ce845
daq,262144,1024,1,28.368,30.832,23.392,4.98,250,OK,50ce845
optspin,262144,1024,2,33.184,44.945,27.392,5.79,191,OK,50ce845
optblock,262144,1024,2,33.712,42.08,27.584,6.13,190,OK,50ce845
daq,262144,1024,2,28.24,30.304,23.328,4.91,250,OK,50ce845
optspin,262144,1024,3,33.088,44.672,27.392,5.70,190,OK,50ce845
optblock,262144,1024,3,34.144,41.712,27.968,6.18,190,OK,50ce845
daq,262144,1024,3,28.336,30.992,23.36,4.98,250,OK,50ce845
optspin,524288,2048,1,42.56,52.512,36.352,6.21,197,OK,50ce845
optblock,524288,2048,1,44.721,61.824,38.336,6.38,196,OK,50ce845
daq,524288,2048,1,37.008,40.592,32.064,4.94,250,OK,50ce845
optspin,524288,2048,2,40.896,47.089,34.816,6.08,197,OK,50ce845
optblock,524288,2048,2,42.848,50.193,36.512,6.34,197,OK,50ce845
daq,524288,2048,2,36.992,42.753,32,4.99,250,OK,50ce845
optspin,524288,2048,3,42.656,51.408,36.448,6.21,196,OK,50ce845
optblock,524288,2048,3,44.016,52.272,37.184,6.83,196,OK,50ce845
daq,524288,2048,3,37.232,42.816,32.32,4.91,250,OK,50ce845
optspin,1048576,4096,1,72.433,79.568,66.08,6.35,200,OK,50ce845
optblock,1048576,4096,1,72.928,84,65.984,6.94,200,OK,50ce845
daq,1048576,4096,1,71.824,111.056,66.88,4.94,250,OK,50ce845
optspin,1048576,4096,2,70.208,77.617,63.648,6.56,200,OK,50ce845
optblock,1048576,4096,2,71.744,79.648,64.768,6.98,200,OK,50ce845
daq,1048576,4096,2,62.624,69.408,57.408,5.22,250,OK,50ce845
optspin,1048576,4096,3,70.897,80.112,64.032,6.87,200,OK,50ce845
optblock,1048576,4096,3,73.297,82.673,66.4,6.90,200,OK,50ce845
daq,1048576,4096,3,57.648,74.513,52.672,4.98,250,OK,50ce845
