arm,size,rep,e2e_p50,fft_p50,lookup_p50,realign_p50,fftcall_p50,n,sm_mhz,pace_us,gitsha
base,1048576,1,127.136,44.864,0.08,4.816,121.68,1000,2457,25,69cfd86+stagetimers
opt,1048576,1,71.840,65.152,0.064,0.032,71.36,1000,2463,25,69cfd86+stagetimers
daq,1048576,1,67.568,62.624,0.032,0.032,67.488,1000,2476,25,69cfd86+stagetimers
extbuf,1048576,1,90.112,76.288,NA,NA,NA,500,2522,25,69cfd86+stagetimers
base,4096,1,15.825,8.064,0.032,3.056,12.544,805,2457,25,69cfd86+stagetimers
opt,4096,1,11.344,5.952,0.032,0.032,11.152,790,2405,25,69cfd86+stagetimers
daq,4096,1,9.536,4.672,0.032,0.032,9.536,1000,2418,25,69cfd86+stagetimers
extbuf,4096,1,10.368,5.344,NA,NA,NA,500,2405,25,69cfd86+stagetimers
base,1048576,2,120.080,38.336,0.064,4.88,114.624,1000,2457,25,69cfd86+stagetimers
opt,1048576,2,79.312,72.448,0.064,0.032,79.056,1000,2457,25,69cfd86+stagetimers
daq,1048576,2,63.280,58.368,0.032,0.032,63.216,1000,2476,25,69cfd86+stagetimers
extbuf,1048576,2,84.608,71.136,NA,NA,NA,500,2515,25,69cfd86+stagetimers
base,4096,2,15.808,7.936,0.032,3.024,12.56,809,2411,25,69cfd86+stagetimers
opt,4096,2,11.520,6.112,0.032,0.032,11.232,807,2457,25,69cfd86+stagetimers
daq,4096,2,9.728,4.768,0.032,0.032,9.648,1000,2418,25,69cfd86+stagetimers
extbuf,4096,2,11.040,6.112,NA,NA,NA,500,2405,25,69cfd86+stagetimers
base,1048576,3,128.160,45.888,0.064,5.024,122.529,1000,2450,25,69cfd86+stagetimers
opt,1048576,3,78.145,71.360,0.048,0.032,77.696,1000,2450,25,69cfd86+stagetimers
daq,1048576,3,63.136,58.208,0.032,0.032,63.104,1000,2476,25,69cfd86+stagetimers
extbuf,1048576,3,82.896,69.920,NA,NA,NA,500,2522,25,69cfd86+stagetimers
base,4096,3,16.080,8.160,0.032,3.024,12.8,757,2450,25,69cfd86+stagetimers
opt,4096,3,11.568,6.112,0.032,0.032,11.344,798,2405,25,69cfd86+stagetimers
daq,4096,3,9.616,4.736,0.032,0.032,9.6,1000,2411,25,69cfd86+stagetimers
extbuf,4096,3,11.248,5.888,NA,NA,NA,500,2405,25,69cfd86+stagetimers
