arm,size,kb,rep,e2e_p50,e2e_p99,fft_p50,resid,n,result,gitsha,sm_mhz,pace_us,msgs
base,4096,16,1,15.472,24.928,7.872,7.60,802,OK,tableB,2411,25,1000
opt,4096,16,1,11.344,15.984,6.048,5.30,799,OK,tableB,2457,25,1000
daq,4096,16,1,9.408,11.584,4.672,4.74,1500,CLOCKLOW,tableB,2379,25,1000
extbuf,4096,16,1,10.672,50.433,5.632,5.04,1000,OK,tableB,2405,25,1000
base,4096,16,2,15.744,44.256,8.032,7.71,794,OK,tableB,2548,25,1000
opt,4096,16,2,11.376,15.744,6.016,5.36,804,OK,tableB,2457,25,1000
daq,4096,16,2,9.456,11.52,4.768,4.69,1500,OK,tableB,2424,25,1000
extbuf,4096,16,2,10.736,73.472,5.696,5.04,1000,OK,tableB,2541,25,1000
base,4096,16,3,15.984,20.56,8.192,7.79,801,OK,tableB,2489,25,1000
opt,4096,16,3,11.568,34.208,6.272,5.30,782,OK,tableB,2424,25,1000
daq,4096,16,3,9.344,11.856,4.736,4.61,1500,CLOCKLOW,tableB,1560,25,1000
extbuf,4096,16,3,10.992,74.800,5.856,5.14,1000,OK,tableB,2489,25,1000
base,65536,256,1,26.128,66.944,13.312,12.82,923,OK,tableB,2548,25,1000
opt,65536,256,1,22.768,55.264,17.248,5.52,923,OK,tableB,2431,25,1000
daq,65536,256,1,18.192,20.368,13.504,4.69,1500,OK,tableB,2405,25,1000
extbuf,65536,256,1,20.816,91.152,15.680,5.14,1000,OK,tableB,2483,25,1000
base,65536,256,2,26.528,31.936,13.344,13.18,923,OK,tableB,2541,25,1000
opt,65536,256,2,23.408,62.497,17.952,5.46,898,OK,tableB,2548,25,1000
daq,65536,256,2,18.24,21.28,13.504,4.74,1500,OK,tableB,2431,25,1000
extbuf,65536,256,2,20.320,72.464,15.328,4.99,1000,OK,tableB,2515,25,1000
base,65536,256,3,26.448,73.808,13.44,13.01,923,OK,tableB,2457,25,1000
opt,65536,256,3,22.944,50.848,17.44,5.50,930,OK,tableB,2431,25,1000
daq,65536,256,3,18.224,21.408,13.536,4.69,1500,OK,tableB,2405,25,1000
extbuf,65536,256,3,22.416,88.208,16.320,6.10,1000,OK,tableB,2483,25,1000
base,262144,1024,1,46.512,81.889,20.512,26.00,983,OK,tableB,2548,25,1000
opt,262144,1024,1,33.905,73.392,28.224,5.68,978,OK,tableB,2548,25,1000
daq,262144,1024,1,25.072,62.032,20.32,4.75,1500,OK,tableB,2437,25,1000
extbuf,262144,1024,1,35.761,91.424,25.280,10.48,1000,OK,tableB,2515,25,1000
base,262144,1024,2,46.752,79.313,20.576,26.18,979,OK,tableB,2548,25,1000
opt,262144,1024,2,33.712,74.368,27.936,5.78,981,OK,tableB,2548,25,1000
daq,262144,1024,2,25.04,63.968,20.352,4.69,1500,OK,tableB,2450,25,1000
extbuf,262144,1024,2,30.416,103.808,24.096,6.32,1000,OK,tableB,2496,25,1000
base,262144,1024,3,47.6,81.52,21.504,26.10,978,OK,tableB,2548,25,1000
opt,262144,1024,3,32.016,56.88,26.336,5.68,979,OK,tableB,2548,25,1000
daq,262144,1024,3,25.12,77.936,20.416,4.70,1500,OK,tableB,2457,25,1000
extbuf,262144,1024,3,30.432,92.176,23.872,6.56,1000,OK,tableB,2548,25,1000
base,1048576,4096,1,128.752,205.025,46.88,81.87,1000,OK,tableB,2463,25,1000
opt,1048576,4096,1,70.848,111.2,64.32,6.53,1000,OK,tableB,2463,25,1000
daq,1048576,4096,1,69.12,113.553,64.288,4.83,1500,OK,tableB,2496,25,1000
extbuf,1048576,4096,1,99.121,148.496,82.688,16.43,1000,OK,tableB,2541,25,1000
base,1048576,4096,2,131.68,224.561,49.728,81.95,1000,OK,tableB,2463,25,1000
opt,1048576,4096,2,71.504,122.464,64.992,6.51,1000,OK,tableB,2470,25,1000
daq,1048576,4096,2,68.976,101.057,64.128,4.85,1500,OK,tableB,2489,25,1000
extbuf,1048576,4096,2,94.144,157.408,78.400,15.74,1000,OK,tableB,2548,25,1000
base,1048576,4096,3,129.745,210.497,47.776,81.97,1000,OK,tableB,2463,25,1000
opt,1048576,4096,3,73.873,125.44,67.296,6.58,1000,OK,tableB,2463,25,1000
daq,1048576,4096,3,57.392,104.08,52.576,4.82,1500,OK,tableB,2489,25,1000
extbuf,1048576,4096,3,77.552,129.440,66.784,10.77,1000,OK,tableB,2535,25,1000
