e2e_latency_us,transfer_latency_us,fft_exec_us,samples_per_sec,buffers_per_sec,mb_per_sec,cpu_util_pct,gpu_util_pct,buffer_size_samples,dropped_buffers,wire_latency_us
132.833,112.608,9.568,6.16714e+07,7528.25,246.686,0.487619,0,8192,0,52.96
134.64,115.04,8.48,6.08437e+07,7427.21,243.375,0.487619,0,8192,0,29.728
137.984,117.28,10.048,5.93692e+07,7247.22,237.477,0.487619,0,8192,0,8.24
141.936,120.8,9.6,5.77162e+07,7045.43,230.865,0.487619,0,8192,0,54.913
136.624,116.16,9.344,5.99602e+07,7319.36,239.841,0.487619,0,8192,0,31.584
134.273,115.2,8.192,6.101e+07,7447.51,244.04,0.487619,0,8192,0,8.096
135.104,114.784,8.704,6.06348e+07,7401.71,242.539,0.487619,0,8192,0,51.84
45.12,23.872,9.44,1.8156e+08,22163.1,726.241,0.487619,0,8192,0,22.208
132.016,113.28,8.096,6.20531e+07,7574.84,248.212,0.487619,0,8192,0,49.2
135.28,114.592,8.832,6.05559e+07,7392.08,242.224,0.487619,0,8192,0,17.792
132.225,113.152,8.288,6.1955e+07,7562.87,247.82,0.487619,0,8192,0,7.696
135.872,114.816,9.632,6.0292e+07,7359.87,241.168,0.487619,0,8192,0,48.08
132.449,113.408,8.448,6.18502e+07,7550.08,247.401,0.487619,0,8192,0,21.568
134.304,115.424,8.448,6.09959e+07,7445.79,243.984,0.487619,0,8192,0,60.704
134.209,115.104,8.192,6.10391e+07,7451.07,244.157,0.487619,0,8192,0,30.288
135.536,114.496,9.216,6.04415e+07,7378.11,241.766,0.487619,0,8192,0,8.368
142.609,122.176,9.664,5.74438e+07,7012.18,229.775,0.487619,0,8192,0,50.8
142.288,115.104,9.92,5.75734e+07,7028,230.293,0.487619,0,8192,0,27.281
113.76,92.192,10.624,7.20113e+07,8790.44,288.045,0.487619,0,8192,0,8.576
164.593,139.36,11.296,4.97713e+07,6075.59,199.085,2.20828,0,8192,0,41.28
138.176,117.152,9.76,5.92867e+07,7237.15,237.147,2.20828,0,8192,0,48.304
135.153,115.616,8.416,6.06128e+07,7399.02,242.451,2.20828,0,8192,0,25.456
