e2e_latency_us,transfer_latency_us,fft_exec_us,samples_per_sec,buffers_per_sec,mb_per_sec,cpu_util_pct,gpu_util_pct,buffer_size_samples,dropped_buffers,wire_latency_us
26.48,0,16.256,1.23746e+09,37764.4,4949.85,1.90476,0,32768,0,84.481
26.656,0,15.392,1.22929e+09,37515,4917.17,1.90476,0,32768,0,67.68
28.208,0,17.184,1.16166e+09,35450.9,4646.63,1.90476,0,32768,0,46.016
26.736,0,16.192,1.22561e+09,37402.8,4902.45,1.90476,0,32768,0,91.584
26.352,0,16.128,1.24347e+09,37947.8,4973.89,1.90476,0,32768,0,68.976
26.704,0,16.224,1.22708e+09,37447.6,4908.33,1.90476,0,32768,0,42.416
24.944,0,14.528,1.31366e+09,40089.8,5254.65,1.90476,0,32768,0,90.384
25.04,0,14.624,1.30863e+09,39936.1,5234.5,1.90476,0,32768,0,61.712
29.296,0,19.008,1.11851e+09,34134.4,4474.06,1.90476,0,32768,0,38.048
25.216,0,14.72,1.29949e+09,39657.4,5197.97,1.90476,0,32768,0,89.425
25.616,0,14.72,1.2792e+09,39038.1,5116.8,1.90476,0,32768,0,64.4
31.056,0,18.112,1.05513e+09,32199.9,4220.5,2.47619,0,32768,0,72.657
27.328,0,16.448,1.19906e+09,36592.5,4796.25,2.47619,0,32768,0,64.224
26.4,0,15.936,1.24121e+09,37878.8,4964.85,2.47619,0,32768,0,43.937
27.04,0,16.288,1.21183e+09,36982.2,4847.34,2.47619,0,32768,0,92.336
24.992,0,14.304,1.31114e+09,40012.8,5244.56,2.47619,0,32768,0,69.376
26.656,0,16,1.22929e+09,37515,4917.17,2.47619,0,32768,0,43.328
26.624,0,16.032,1.23077e+09,37560.1,4923.08,2.47619,0,32768,0,38.592
26.465,0,16.032,1.23816e+09,37785.8,4952.65,2.47619,0,32768,0,86.224
26.208,0,15.872,1.25031e+09,38156.3,5001.22,2.47619,0,32768,0,60.576
26.72,0,16.352,1.22635e+09,37425.1,4905.39,2.47619,0,32768,0,40.864
25.2,0,14.688,1.30032e+09,39682.5,5201.27,2.47619,0,32768,0,39.296
25.184,0,14.784,1.30114e+09,39707.8,5204.57,2.47619,0,32768,0,90.257
25.008,0,14.432,1.3103e+09,39987.2,5241.2,2.47619,0,32768,0,67.104
26.992,0,16.512,1.21399e+09,37048,4855.96,2.47619,0,32768,0,41.633
26.208,0,14.816,1.25031e+09,38156.3,5001.22,2.47619,0,32768,0,47.952
28.912,0,18.272,1.13337e+09,34587.7,4533.48,2.47619,0,32768,0,90.784
25.584,0,14.688,1.2808e+09,39086.9,5123.2,2.47619,0,32768,0,69.68
26.928,0,16.352,1.21687e+09,37136.1,4867.5,2.47619,0,32768,0,44.256
26.656,0,16.192,1.22929e+09,37515,4917.17,2.47619,0,32768,0,39.152
29.344,0,15.84,1.11668e+09,34078.5,4466.74,2.47619,0,32768,0,85.392
26.8,0,16.064,1.22269e+09,37313.4,4890.75,2.47619,0,32768,0,63.056
30.112,0,17.312,1.0882e+09,33209.4,4352.82,2.93333,0,32768,0,39.12
26.544,0,15.232,1.23448e+09,37673.3,4937.91,2.93333,0,32768,0,39.872
25.776,0,14.816,1.27126e+09,38795.8,5085.04,2.93333,0,32768,0,86.624
27.136,0,16.544,1.20755e+09,36851.4,4830.19,2.93333,0,32768,0,62.641
24.896,0,14.4,1.3162e+09,40167.1,5264.78,2.93333,0,32768,0,39.488
26.784,0,16.512,1.22342e+09,37335.7,4893.67,2.93333,0,32768,0,85.873
26.352,0,15.808,1.24347e+09,37947.8,4973.89,2.93333,0,32768,0,62.064
26.096,0,15.808,1.25567e+09,38320,5022.69,2.93333,0,32768,0,39.696
24.944,0,14.592,1.31366e+09,40089.8,5254.65,2.93333,0,32768,0,86.048
25.616,0,15.328,1.2792e+09,39038.1,5116.8,2.93333,0,32768,0,61.04
